country,degree
de,277064
es,240813
it,230680
fr,230098
gb,187555
nl,148960
be,122671
gr,80191
se,79561
at,76109
ch,70404
pt,57776
fi,57326
dk,47926
no,47879
ie,37811
lu,9488
