country,degree
de,188951
gb,153687
fr,144638
it,133196
es,121570
nl,92587
be,67825
se,56848
ch,46789
gr,40997
at,40508
fi,36527
dk,32029
no,28235
pt,27173
ie,20095
lu,2905
