country,degree
de,132842
gb,109052
fr,105688
it,90639
es,68636
nl,57359
be,45157
se,40629
gr,33429
ch,29800
at,26431
dk,25874
fi,21968
no,20075
pt,17918
ie,12828
lu,1419
