country,degree
de,153497
es,150897
it,134698
fr,132004
nl,91914
be,84990
gb,68206
gr,67256
at,48436
se,45334
pt,44220
ch,43141
fi,40942
dk,36286
no,34044
ie,25143
lu,8026
