,country,population,gdp,# projects,gdp per capita,# projects per capita
0,gb,58078584.0,1421711933486.21,10670,24479.108056184876,0.00018371660025320177
1,de,81300864.0,2497244606186.64,9687,30716.089390964407,0.00011915002526910415
2,fr,57623180.0,1605675086549.56,8968,27865.08982235205,0.00015563181344729673
3,it,56898972.0,1312426527795.21,6456,23065.909306677982,0.0001134642643455843
4,es,39996476.0,642588992512.807,4869,16066.140239775299,0.00012173572491736522
5,nl,15538617.0,450490196078.431,4698,28991.65325192268,0.0003023435097216181
6,be,10123230.0,279201433224.756,2861,27580.271635116063,0.00028261730692674176
7,gr,10803809.0,145861612400.906,2711,13500.943269258649,0.000250930019218222
8,se,8785493.0,291745732990.835,2685,33207.667798589675,0.00030561745368188215
9,dk,5256002.0,187633263192.748,1935,35698.856886422036,0.0003681505448437805
10,pt,10087653.0,122630089680.27,1602,12156.454001765327,0.00015880800023553547
11,fi,5124717.0,132129174216.93,1569,25782.725995782792,0.00030616324764860185
12,at,7958043.0,237250948791.266,1372,29812.725162614224,0.0001724041953530535
13,ie,3606725.0,75790786290.3226,1262,21013.741355474176,0.00034990191933124927
14,no,4381511.0,163519897878.102,1147,37320.43531971094,0.000261781837361586
15,ch,7069694.0,340101207919.03,1043,48106.92059925508,0.00014753113783991215
16,ru,148233408.0,391724890744.498,376,2642.622172894372,2.5365402109624303e-06
17,hu,10308272.0,46658765340.4375,290,4526.342081431058,2.813274620615366e-05
18,il,5612491.0,114507654661.382,285,20402.28744444882,5.077959145056981e-05
19,pl,38401408.0,160193242090.427,275,4171.546056082813,7.161195756155608e-06
20,cz,10295653.0,67388492013.5445,237,6545.334425465243,2.3019423828677985e-05
21,ro,22417872.0,36937074278.3004,170,1647.6619314402544,7.583235375775185e-06
22,is,269140.0,7426082270.67669,153,27591.893700961173,0.0005684773723712566
23,ua,50616104.0,44558841762.3667,131,880.3293466120327,2.5881091124674473e-06
24,bg,8401382.0,12294987876.3121,127,1463.4482608113879,1.5116560584913292e-05
25,lu,413202.0,20895314657.9805,121,50569.24859507093,0.00029283498143765034
26,si,1990671.0,21507232648.7252,112,10804.011636641715,5.626243613334398e-05
27,sk,5358288.0,27925036755.3866,109,5211.559504712438,2.0342318292708416e-05
28,cn,1228298880.0,863749314718.538,107,703.2077687138639,8.711234842125721e-08
29,br,166037120.0,850426432991.742,79,5121.905469040549,4.757972193205953e-07
30,by,10436455.0,14756846153.8462,64,1413.9711380776519,6.132350496408982e-06
31,ma,26999094.0,43161572352.9793,64,1598.630396745139,2.3704499121340887e-06
32,ee,1434670.0,4786018988.16491,61,3335.9720271316123,4.251848857228492e-05
33,tn,9430552.0,19587155099.3502,59,2076.9892472201204,6.2562615634800595e-06
34,lt,3722023.0,8382519637.46224,49,2252.140741059967,1.316488372049286e-05
35,ke,27615736.0,12045865466.4343,45,436.195706188468,1.6295057281833806e-06
36,za,44661608.0,163234919052.67,44,3654.927047245366,9.851862028792156e-07
37,ar,35389360.0,272149750000.0,44,7690.157437150601,1.2433115490079503e-06
38,in,983281216.0,392896860670.885,41,399.57730736400543,4.1697125230143725e-08
39,ca,29593856.0,630597987889.282,41,21308.409011967957,1.385422703955848e-06
40,eg,65565196.0,67629716981.1321,41,1031.4880623727886,6.253317690074472e-07
41,lv,2534288.0,5975248851.45482,40,2357.7623582855695,1.5783525787124432e-05
42,mx,91586560.0,410972976953.229,35,4487.262945056884,3.821521411001789e-07
43,sn,8843426.0,6559712162.47057,29,741.7614126550694,3.2792720830139813e-06
44,kz,16144248.0,21035357832.6977,28,1302.9630016026574,1.7343638427754578e-06
45,tz,31140730.0,6496195823.96993,28,208.60769236848108,8.99143982816074e-07
46,co,36632576.0,97153389010.9466,28,2652.1036634427946,7.643470117962766e-07
47,zw,11178171.0,8553146600.0,26,765.1651240618882,2.3259619127315194e-06
48,us,268984352.0,8073122000000.0,26,30013.351854757708,9.665989789621666e-08
49,cl,14615489.0,78575020639.4728,26,5376.147225691374,1.7789346630824327e-06
50,bf,10621215.0,2586550594.03222,24,243.52680875325657,2.25962848883108e-06
51,tr,60293784.0,181464650312.271,22,3009.67426944494,3.6488006790219036e-07
52,au,18211850.0,401310823652.743,22,22035.697836998603,1.2080046782726632e-06
53,ml,10131913.0,2780422047.73085,21,274.42221895616854,2.0726589342012707e-06
54,cm,13575327.0,11093538840.5385,21,817.1839131785555,1.5469240630446692e-06
55,cy,880064.0,10011918444.1656,20,11376.352679084248,2.272561995491237e-05
56,id,201373792.0,227369679374.973,19,1129.0927042530589,9.43519005690671e-08
57,jo,4608685.0,6927503526.09309,19,1503.1410317895647,4.122651038202871e-06
58,ug,21249570.0,6044585326.938,18,284.45683027647146,8.470759643606906e-07
59,th,60211100.0,183035238433.438,18,3039.8919540323627,2.98948200580956e-07
60,vn,74946456.0,24657470574.7501,17,329.00115483446075,2.2682860414373696e-07
61,ve,22572114.0,70543211119.099,17,3125.237233831931,7.531416862417051e-07
62,pe,24907304.0,55252414130.3019,16,2218.321747319658,6.423818491154241e-07
63,lb,4034250.0,13690217333.2697,16,3393.4975108805106,3.966040775856726e-06
64,ph,70944968.0,94648084429.0341,15,1334.1056751062895,2.1143148588071815e-07
65,cr,3656235.0,11678424507.2457,15,3194.1121145784396,4.102580933665369e-06
66,md,4430199.0,1695122173.91304,15,382.62890084915824,3.3858524188191093e-06
67,et,59347656.0,8589233419.59411,15,144.72742477974379,2.527479771062904e-07
68,zm,8902025.0,3597220962.00017,13,404.0901886930412,1.4603418885028967e-06
69,gh,17844012.0,6932984635.632,13,388.532838670586,7.285357127085545e-07
70,dz,28984640.0,46941553939.5593,12,1619.53206731425,4.1401238725062653e-07
71,mz,16079560.0,3856799844.1609,12,239.85729983661867,7.462890775618239e-07
72,mt,385271.0,3585755121.48642,11,9307.098435870907,2.8551331400494718e-05
73,pk,137234816.0,63320170084.4076,11,461.4001893251899,8.015458701092294e-08
74,uy,3226635.0,20515457255.7546,11,6358.158656233073,3.4091243664064883e-06
75,jp,125726224.0,4923393495138.77,11,39159.63860601404,8.749169147082633e-08
76,bo,7989373.0,7396948397.53774,10,925.8484235919063,1.2516626774091034e-06
77,uz,23465930.0,13948892215.5689,10,594.4316809761599,4.261497413484145e-07
78,cu,10963036.0,25017368700.0,10,2281.974509615767,9.121560852304051e-07
79,ng,110956184.0,51075815092.5,10,460.3241860994426,9.012566618188672e-08
80,bj,6203860.0,2361116448.13525,9,380.5882866691463,1.4507097194327402e-06
81,ec,11775223.0,25226393196.5983,9,2142.328276636315,7.643167352329548e-07
