,country,population,gdp,# projects,gdp per capita,# projects per capita
0,de,81551680.0,1947981991011.77,11460,23886.472860053527,0.00014052438895188917
1,gb,58850044.0,1666048767079.76,11094,28310.06833367465,0.00018851302812959665
2,fr,58665456.0,1365639660792.16,10191,23278.429145631457,0.00017371381209412232
3,it,56966400.0,1146676894209.73,8034,20129.00401306261,0.00014103050219076507
4,es,40741652.0,598363313494.903,5949,14686.771010044044,0.00014601764307446344
5,nl,15899138.0,417479337444.707,4945,26257.985649580936,0.0003110231510664289
6,be,10264351.0,236792460312.471,3128,23069.40402880523,0.00030474406029178076
7,gr,11038112.0,130457756628.436,2981,11818.84697568171,0.00027006430085144996
8,se,8871042.0,262834187366.578,2881,29628.3331052404,0.00032476455415271396
9,dk,5340662.0,164157842126.821,2130,30737.358426131632,0.00039882696190097783
10,at,8010425.0,197289625479.906,1930,24629.108378132994,0.00024093603023559923
11,fi,5176208.0,126019543413.334,1924,24345.91952512998,0.00037170067354325793
12,ch,7182052.0,279209007352.669,1715,38875.937873001894,0.00023878969408742793
13,pt,10300632.0,118605192877.388,1655,11514.360757416438,0.00016066975307922854
14,no,4491204.0,171456390281.958,1584,38176.04149843962,0.00035268939019470055
15,pl,38504432.0,172220451786.957,1224,4472.743599670734,3.178854839359791e-05
16,ie,3768954.0,100207610429.909,1026,26587.644855816492,0.0002722240706572699
17,cz,10234712.0,61823494487.0363,868,6040.570021612362,8.480942111512273e-05
18,hu,10202054.0,47218411470.2538,782,4628.324009092071,7.665123121285184e-05
19,il,6116955.0,136034659581.426,738,22238.950520549195,0.00012064826371944865
20,si,1984339.0,20289627636.6767,442,10224.879739135653,0.00022274419844593086
21,ro,21919882.0,37253738081.0669,371,1699.540995752938,1.6925273594082304e-05
22,bg,8097694.0,13245990274.4581,354,1635.773131765426,4.371614931361941e-05
23,sk,5376700.0,29242558796.5507,341,5438.755890518478,6.342180147674223e-05
24,ru,146844848.0,259710142196.943,235,1768.6023427729858,1.6003285317847856e-06
25,us,282398560.0,10250947997000.0,224,36299.57602120917,7.932051778167707e-07
26,ee,1396881.0,5686579747.53524,215,4070.912087382705,0.000153914327705796
27,lv,2392536.0,7958852838.93395,176,3326.5342042644083,7.356211150009864e-05
28,lt,3599639.0,11524776866.6379,174,3201.6479615422268,4.8338180578663585e-05
29,is,281469.0,9025660361.75842,167,32066.26790786346,0.0005933157825550949
30,cy,948238.0,9985844486.33365,166,10530.947384869252,0.0001750615351842048
31,cn,1264099072.0,1211331627479.0,143,958.2568758337005,1.131240447584159e-07
32,lu,435634.0,21230182989.3036,112,48733.98997622683,0.00025709655352887975
33,ca,30683316.0,744773415931.587,102,24272.9115696487,3.3242821603766685e-06
34,tr,64113548.0,274294842523.054,90,4278.26646753435,1.4037594674997552e-06
35,br,175873712.0,655448188246.11,82,3726.8115899328377,4.662436419150578e-07
36,tn,9893326.0,21473522938.6803,73,2170.505949028699,7.3787116688563585e-06
37,ua,48879752.0,32375081951.1418,69,662.3413709452086,1.4116274567023172e-06
38,za,46813272.0,151752749926.331,67,3241.6608248688744,1.4312180528632992e-06
39,ma,28554420.0,43017455401.4244,65,1506.50776312124,2.276355114199483e-06
40,au,19017968.0,415844972940.496,54,21865.89928747887,2.839420068432127e-06
41,eg,71371368.0,99838543960.0763,52,1398.8598895859232,7.285834846264962e-07
42,ar,37070772.0,284203750000.0,52,7666.518247853052,1.4027223387740618e-06
43,mt,399212.0,4323339212.2281,50,10829.682505105307,0.00012524673607005801
44,jp,126803864.0,4968359152795.66,49,39181.44917725583,3.8642355567335077e-07
45,jo,5056172.0,8460789844.8519,43,1673.358787013555,8.504457522410234e-06
46,in,1059633664.0,468394937262.37,39,442.03478350643456,3.6805172697873065e-08
47,mx,97873448.0,707909864021.779,38,7232.910237532237,3.8825647585236807e-07
48,hr,4548438.0,22128719418.4376,36,4865.124998612183,7.914805038564888e-06
49,ke,30851604.0,12705350153.4012,36,411.8213806128589,1.1668761209303738e-06
50,th,63066604.0,126392223203.461,30,2004.1070104783348,4.7568757626461065e-07
51,kz,15236256.0,18291990619.137,28,1200.55679158561,1.8377218130228318e-06
52,ug,24020710.0,6193246837.09687,28,257.8294662021593,1.16566079853593e-06
53,vn,79001144.0,31172518403.3162,27,394.58312658505554,3.417672027635448e-07
54,lb,4320650.0,17260364842.4544,24,3994.853747110828,5.554719775959636e-06
55,sn,9704291.0,6013185003.70967,24,619.6418680880107,2.4731327615793877e-06
56,dz,30774624.0,54790398813.0005,23,1780.3758971352665,7.473690011614764e-07
57,id,214072416.0,165021012077.81,22,770.8653695850753,1.0276896206935881e-07
58,cl,15351803.0,78249883995.6255,22,5097.113609106728,1.4330564299190135e-06
59,sy,16307659.0,80590022271.7149,22,4941.851081857605,1.3490593591636912e-06
60,cu,11105799.0,30565400000.0,21,2752.201800158638,1.8909040223040234e-06
61,tz,34463704.0,13375976353.6994,20,388.11778193369463,5.803206759203828e-07
62,bo,8592656.0,8397855937.46841,20,977.329470360318,2.327569031042323e-06
63,ba,4179355.0,5567774049.09534,19,1332.2089291518284,4.546156045609909e-06
64,by,10256489.0,12736856827.9847,19,1241.8340065479229,1.8524857775404428e-06
65,zw,11834679.0,6689957600.0,18,565.2842464083732,1.52095380026784e-06
66,cr,3979189.0,15013629658.6521,17,3773.037585963396,4.2722273307450334e-06
67,pe,26654440.0,51744749133.213,17,1941.3181868841739,6.377924278281592e-07
68,bf,11882896.0,2968370087.46649,17,249.80190750356562,1.43062768537232e-06
69,co,39215136.0,99875074935.083,16,2546.8501482458964,4.080057251363351e-07
70,rs,7935023.0,6875845986.52121,16,866.5187216875375,2.0163772682196386e-06
71,ml,11239103.0,2961484953.73364,16,263.49833734361545,1.4236011539355054e-06
72,ni,5123223.0,5107329007.0922,15,996.8976574106183,2.9278444447957858e-06
73,gh,19665506.0,4982849054.0291,14,253.38015986108368,7.119064213247297e-07
74,li,33054.0,2480000000.0,14,75028.74084830882,0.00042354934349851756
75,mk,2037940.0,3772859053.28772,13,1851.3101726683417,6.378990549280155e-06
76,am,3168525.0,1911563668.85006,13,603.2976444402553,4.102855429576853e-06
77,ge,4265175.0,3057475335.18846,13,716.8463979059381,3.047940588604219e-06
78,uz,24925558.0,13760513969.314,12,552.0644299844361,4.814335550682556e-07
79,ph,77958224.0,83669788254.7279,12,1073.2644224261433,1.5392859642364352e-07
80,zm,9891140.0,3600631918.50658,12,364.02597865428856,1.213206971087256e-06
81,cm,15091598.0,10566579294.5164,11,700.1630506270045,7.288823887304711e-07
82,bd,129193336.0,53369787318.6245,11,413.1001564865892,8.514371050841198e-08
83,mz,17768510.0,5656473652.41147,11,318.3425989242469,6.19072730352742e-07
84,my,22945152.0,93789736842.1053,11,4087.5622372039766,4.794041024439498e-07
85,ve,24427732.0,117146466003.235,10,4795.634158882822,4.0937079217996986e-07
86,ng,122851984.0,69448962760.8787,9,565.3059926234378,7.325889014539643e-08
87,md,4251571.0,1288429391.79951,9,303.0478361526857,2.1168645660627567e-06
88,kr,46788588.0,576178114168.494,8,12314.501009701213,1.7098186421013603e-07
89,al,3182027.0,3480355258.04122,8,1093.7541567187268,2.5141207161347155e-06
90,nz,3855266.0,52622954598.9299,8,13649.630038220424,2.0750837944774756e-06
91,uy,3292227.0,22823271520.8708,8,6932.472007814406,2.4299660989354624e-06
92,lk,18776374.0,16330814179.9766,8,869.75334960715,4.260673546447253e-07
93,ci,16799664.0,16577533891.5688,7,986.7777052903439,4.1667500016667e-07
94,kh,12118844.0,3654031716.26881,7,301.51652387544635,5.776128482221572e-07
95,et,67031872.0,8231326016.47494,7,122.79719737612191,1.0442793541555873e-07
96,gt,11735893.0,19288928615.9382,6,1643.5842262653725,5.112521049740313e-07
97,bw,1726992.0,5788329609.15755,6,3351.6829314539673,3.4742488673948694e-06
98,bj,6998022.0,3519991440.32367,6,502.99805292462213,8.573851296837878e-07
99,ec,12626511.0,18327764882.4412,6,1451.53042534404,4.751906524296379e-07
100,sv,5958482.0,11784927700.0,5,1977.8406144383755,8.39139901740074e-07
101,tm,4569135.0,2904662604.82053,4,635.7138943849394,8.754392242733033e-07
102,az,8190341.0,5272617196.04517,4,643.7603997251359,4.883801541352185e-07
103,gm,1437540.0,782913865.987568,4,544.6205782013495,2.782531268695132e-06
104,np,24559504.0,5494252207.90502,4,223.71185541471112,1.628697387373947e-07
105,la,5430862.0,1731198022.45494,4,318.77039454416996,7.365313278076298e-07
106,mr,2695018.0,1779520861.64321,4,660.3001767124413,1.484220142499976e-06
107,hn,6656727.0,7186638029.05875,3,1079.605341943383,4.5067192931300923e-07
108,mw,11229380.0,2537307566.12394,3,225.95259632534834,2.6715633454384836e-07
109,mg,16216432.0,4629247204.9853,3,285.46644570058936,1.849975382994237e-07
110,mn,2450988.0,1136896123.61298,3,463.85217863693333,1.223996200715793e-06
111,gw,1230855.0,371095522.049254,3,301.4941012948349,2.4373301485552725e-06
112,bi,6307665.0,870486065.883137,3,138.00448595211333,4.756118151487119e-07
113,fj,832516.0,1678219507.89829,3,2015.8405458853522,3.6035343464870344e-06
114,fo,45684.0,1160268142.36886,3,25397.69158499387,6.566850538481745e-05
115,ne,11622673.0,2241753192.71257,3,192.87759302120693,2.581161837728722e-07
116,sg,4053602.0,96076521349.0621,2,23701.518143385092,4.933883494235497e-07
117,ls,1998632.0,887291645.302466,2,443.94948409835627,1.0006844681762326e-06
118,tt,1332203.0,8154342547.5637,2,6120.94594259561,1.5012727039347607e-06
119,do,8540790.0,24305781111.9057,2,2845.8469429532515,2.341703753399861e-07
120,py,5123817.0,8855705139.55857,2,1728.3414180402171,3.903340029513154e-07
121,cd,48616328.0,19088046305.7971,2,392.62624494793397,4.113844221225428e-08
122,sd,26298778.0,12257299147.2936,2,466.0786576202742,7.60491609153855e-08
123,ws,184022.0,258856139.798489,2,1406.658659282526,1.086826575083414e-05
124,gn,8336973.0,2995361112.0538,2,359.2864115133634,2.398952233622443e-07
125,mu,1215930.0,4663321022.22673,2,3835.1887215766783,1.6448315281307312e-06
