,country,population,gdp,# projects,gdp per capita,# projects per capita
0,de,81266672.0,2814353869359.08,10589,34631.095381377,0.0001302994172075854
1,gb,59995852.0,2423047347028.45,8899,40386.91453249885,0.00014832692100113856
2,fr,60108436.0,2119633181634.37,7955,35263.489165387204,0.00013234415215860882
3,it,57860664.0,1806542968545.56,6699,31222.29929033583,0.00011577813901340642
4,es,42959672.0,1069055675273.75,5093,24885.09864027244,0.00011855304668061711
5,nl,16196036.0,658380081545.175,4154,40650.6926475821,0.00025648251214062504
6,be,10456164.0,369214712443.206,3085,35310.723171825346,0.00029504127900059716
7,se,9004263.0,385118743610.143,2671,42770.71245144028,0.000296637270590608
8,gr,11115089.0,240963562236.127,2268,21678.959317026343,0.0002040469491517342
9,ch,7381153.0,403914244451.966,2014,54722.377987824664,0.00027285709969702564
10,at,8171215.0,301457562038.541,1975,36892.623929065754,0.00024170212141034106
11,pl,38596040.0,255107275407.423,1905,6609.67486320936,4.93573952146386e-05
12,dk,5415583.0,251374821136.171,1711,46416.94553221158,0.0003159401305455017
13,fi,5228143.0,197479443979.151,1446,37772.387629632736,0.00027658003998742956
14,no,4592284.0,265267350723.204,1290,57763.707715638666,0.00028090597184320484
15,hu,10094499.0,104120803140.221,1190,10314.608297075565,0.00011788598919074636
16,pt,10501523.0,189382122532.169,1173,18033.776865714524,0.00011169808417312423
17,cz,10261003.0,119814667457.855,1079,11676.70133785703,0.00010515541219508463
18,ie,4031961.0,194372115041.065,909,48207.83609788513,0.00022544860924994067
19,il,6595990.0,139973668874.271,751,21221.025027974723,0.00011385705557467491
20,si,1996731.0,34414784504.2352,617,17235.563781117835,0.000309005068784929
21,ro,21289292.0,74973660680.522,612,3521.660592589082,2.87468460670275e-05
22,tr,67785080.0,408865358516.587,467,6031.789864621934,6.889421683945789e-06
23,ru,144353648.0,591016690742.798,465,4094.2276065153405,3.221255620779324e-06
24,bg,7865314.0,26157744752.7834,462,3325.708897671905,5.873891366574812e-05
25,sk,5374932.0,57437444469.087,441,10686.171372788902,8.204754962481386e-05
26,us,293947872.0,12217193198000.0,406,41562.44818128842,1.38119727568567e-06
27,cn,1296816768.0,1955346808095.44,394,1507.8050009416904,3.038208710145241e-07
28,ee,1362489.0,12145911801.2422,391,8914.502650107414,0.0002869747939249418
29,lt,3422593.0,22627507451.5648,343,6611.217708785357,0.00010021641486440252
