,country,population,gdp,# projects,gdp per capita,# projects per capita
0,de,82624368.0,3690849152517.69,20839,44670.225526175156,0.0002522137294895859
1,es,46584168.0,1313245330197.66,18925,28190.807876995033,0.0004062539015401112
2,gb,66064808.0,2683488510504.04,17440,40619.0313987447,0.0002639832087304333
3,it,60004024.0,1961796197354.37,17249,32694.410584102996,0.00028746405407743987
4,fr,64144092.0,2595151045197.67,17185,40458.14609391727,0.000267912436892863
5,nl,17207204.0,833869641687.068,11147,48460.49606240898,0.0006478100683876358
6,be,11384491.0,502764720556.358,8453,44162.248497219414,0.000742501355572243
7,gr,10692230.0,199844406013.533,5525,18690.619825193902,0.0005167303733645835
8,se,10058191.0,541018749769.097,5219,53788.872150975956,0.0005188805820052532
9,ch,8451688.0,695200833086.499,5166,82255.856236825,0.000611238843648748
10,at,8797497.0,417261151844.981,5107,47429.5304499656,0.0005805060234746315
11,dk,5737286.0,332121063806.391,3999,57888.18333379075,0.0006970194618152206
12,pt,10307528.0,221357874718.932,3989,21475.360020262084,0.0003869987061883315
13,fi,5508146.0,255647979916.473,3523,46412.70945186874,0.0006395981515377407
14,no,5277396.0,401745275035.261,3253,76125.66406524373,0.0006164024833459532
15,ie,4771860.0,336377500160.549,2970,70491.90465783761,0.0006223988130414556
16,pl,38532816.0,524641206562.004,2861,13615.439021171047,7.424840167404324e-05
17,il,8309256.0,358245427458.541,2049,43114.01977006618,0.00024659247470531657
18,us,329791232.0,19477336549000.0,2024,59059.5948560573,6.137215922101895e-06
19,cz,10531315.0,218628940951.675,1893,20759.88999965104,0.00017974963240582965
20,ro,19698852.0,210147181055.277,1621,10667.991264428862,8.228905928122106e-05
21,hu,9788940.0,143112196040.326,1554,14619.784781633762,0.0001587505899515167
22,si,2098396.0,48589100043.0958,1496,23155.35296631132,0.0007129254916612498
23,tr,82089824.0,858988578709.755,1214,10464.008044526383,1.4788678314135502e-05
24,bg,7182430.0,59343060705.828,993,8262.253959429887,0.00013825404494022218
25,cy,1208527.0,22946583375.5508,989,18987.232701917954,0.0008183515966130669
26,ee,1317550.0,26924385103.0662,898,20435.190393583696,0.0006815680619331334
27,hr,4192468.0,55937483557.9256,821,13342.375793428977,0.0001958273742339834
28,sk,5439418.0,95649966260.981,699,17584.595679350437,0.0001285063953533264
29,lu,596290.0,65712180342.9842,631,110201.71450633786,0.0010582099314092137
30,lt,2904452.0,47758736931.7805,613,16443.28669634771,0.00021105530406424343
31,rs,7464882.0,44179075778.9267,603,5918.255074752246,8.077823601230401e-05
32,cn,1410275968.0,12310491176727.3,601,8729.13632229412,4.2615772631530797e-07
33,lv,1954861.0,30483806017.8321,562,15593.848369695901,0.0002874884710473021
34,ca,36554344.0,1649265644244.09,475,45118.184701771424,1.2994351642584532e-05
35,is,343641.0,24728285177.4603,397,71959.64735715558,0.0011552754182417115
36,au,24590336.0,1326467487376.42,366,53942.63369871888,1.4883895852419422e-05
37,ua,44657260.0,112090503817.399,334,2510.017493625874,7.479187034762097e-06
38,za,56641208.0,381448814653.456,314,6734.475272022023,5.54366707715697e-06
39,br,208504960.0,2063514688761.67,268,9896.717510996716,1.285341125697921e-06
40,mt,479507.0,13489296992.0001,266,28131.59555960622,0.0005547364272054423
41,ar,44054616.0,643628396190.388,244,14609.783369588058,5.538579657577766e-06
42,jp,126662464.0,4930837369151.42,226,38928.95506242023,1.7842697265071363e-06
43,ru,145452544.0,1574199355092.71,197,10822.76948757053,1.3543936364564376e-06
44,in,1354195712.0,2651474263257.15,193,1957.9697674136114,1.4252002003090082e-07
45,cl,18368582.0,276364936832.331,157,15045.523755308439,8.547203044851257e-06
46,ke,48948140.0,82036511258.8324,138,1675.9883268053168,2.8193103966769727e-06
47,mk,2111982.0,11307067000.7188,123,5353.770534369516,5.8239132719881135e-05
48,kr,51511640.0,1623901496835.79,119,31524.942650550245,2.3101574712045664e-06
49,ba,3440025.0,18326376394.0796,118,5327.396281736209,3.43020762930502e-05
50,co,48351668.0,311866875135.576,100,6449.971387451948,2.0681809777482756e-06
51,tn,11811441.0,42163530590.9462,97,3569.7194432877577,8.212376457707405e-06
52,mx,122839256.0,1158912015259.01,93,9434.378333087674,7.570869690060643e-07
53,ma,35528116.0,118540574727.552,93,3336.5285884439245,2.6176451349123042e-06
54,md,3180515.0,9519053158.46404,86,2992.9282391260663,2.7039646095050643e-05
55,nz,4746253.0,206556258844.567,75,43519.85847458342,1.580193891897461e-05
56,me,632445.0,4856602178.63413,66,7679.090163783617,0.00010435690060005218
57,ge,3771904.0,16242647229.7398,65,4306.219678374582,1.7232676123252343e-05
58,gh,30222266.0,60405920071.1024,64,1998.722401262116,2.117643991353924e-06
