,country,population,gdp,# projects,gdp per capita,# projects per capita
0,fr,56169944.0,1025211803413.53,3499,18251.964136078364,6.229310109335341e-05
1,gb,57076096.0,926926143222.19,3142,16240.181234928716,5.50493152159531e-05
2,de,78916440.0,1398967436804.33,3066,17727.1990070045,3.8851220354085914e-05
3,it,56711524.0,928661332204.347,1925,16375.178565195092,3.394371838781832e-05
4,nl,14850230.0,258336705808.999,1499,17396.141730397372,0.00010094119754374175
5,es,38847320.0,414757056921.996,1304,10676.593827373315,3.356730914770955e-05
6,be,9937168.0,164221056511.057,1130,16525.94144640173,0.00011371449088915474
7,dk,5133937.0,112409606609.965,744,21895.40047140528,0.00014491802295197624
8,gr,10211975.0,79169043222.8284,689,7752.569235904749,6.746980872945733e-05
9,pt,10020318.0,60594092182.3275,588,6047.122674382938,5.868077240662422e-05
10,ie,3483316.0,39238392677.7542,497,11264.666391953588,0.00014268013582459933
11,se,8504982.0,217949132622.507,321,25626.054543384922,3.774258428765634e-05
12,ch,6646209.0,208102666687.042,164,31311.483988397293,2.4675721151712202e-05
13,fi,4964482.0,119012054870.445,133,23972.703470461773,2.679030762927532e-05
14,no,4227072.0,102633934390.615,107,24280.148147610216,2.531302991763566e-05
15,at,7619393.0,133105805512.22,59,17469.34506623034,7.743398982044895e-06
16,lu,376960.0,10037674037.674,23,26627.95532065471,6.101443123938879e-05
17,sn,7321837.0,6366039362.80037,12,869.4593123010483,1.6389329617690205e-06
18,th,54324012.0,72250747142.1734,10,1329.99652422898,1.8408066031647295e-07
19,bf,8895235.0,2615587729.97265,8,294.04369080441944,8.993579146588033e-07
20,br,148003424.0,412990820287.42,8,2790.4139588515195,5.405280353513983e-08
21,cm,11089225.0,11012566178.1825,7,993.0870893306341,6.312433916707434e-07
22,ke,22387804.0,8283114648.38116,7,369.9833466641552,3.1267023777767574e-07
23,ci,11462955.0,9757410629.74456,7,851.2125040833328,6.106627828513678e-07
24,ma,24148104.0,26314313191.1826,6,1089.70514584427,2.4846671192073713e-07
25,mx,80233752.0,221403143240.479,5,2759.476376481546,6.23179132891604e-08
26,tn,8256402.0,10101853518.0853,5,1223.5176434099624,6.05590667702469e-07
27,cd,34825892.0,9021862775.18112,4,259.0561865631789,1.148570724333493e-07
28,my,17020144.0,38847970073.3093,4,2282.470117368531,2.3501563794054856e-07
29,et,46195952.0,12175166763.285,3,263.55484054717607,6.494075498216814e-08
30,in,852012672.0,296042058867.01,3,347.4620373568927,3.521074390780892e-09
31,ml,8774126.0,2181821905.94196,3,248.66544040306235,3.4191439694392354e-07
32,cn,1134414720.0,347768051311.741,3,306.56165261302414,2.644535501090818e-09
33,cr,3079008.0,5251025767.47627,3,1705.4277765683848,9.743397873600849e-07
34,dz,24889516.0,55634719135.3597,3,2235.267215937815,1.2053267729272035e-07
35,is,253054.0,5672570277.78609,3,22416.44185741419,1.1855177155863966e-05
36,tg,3763661.0,1838552523.37741,2,488.50109597474636,5.313974877120973e-07
37,ph,60127352.0,48513772976.7115,2,806.8503162539322,3.326273207574483e-08
38,pe,21624308.0,22499559086.0587,2,1040.4753338723579,9.248850876522847e-08
39,pk,111670392.0,40171105580.1973,2,359.7292430046928,1.790985026720422e-08
40,tz,25522898.0,4420167588.57625,2,173.18439264131567,7.836100743732157e-08
41,ve,19275300.0,43536709104.0115,2,2258.6786770639883,1.0375973396004213e-07
42,vn,65466360.0,6293304974.59403,2,96.13036335904471,3.055004127310576e-08
43,ar,32165770.0,76629728760.123,2,2382.337769626625,6.217789905231555e-08
44,eg,55765848.0,39756299049.9793,2,712.9148121262193,3.586424436691073e-08
45,bi,5373706.0,1113924130.41149,2,207.29160292942896,3.721826240587036e-07
46,bj,4979683.0,1502294413.87362,2,301.68474858211255,4.016319914339929e-07
47,ga,956514.0,4186411457.4569,2,4376.738299132998,2.090926008401341e-06
48,gh,15052443.0,5251764269.91812,2,348.8978015009338,1.3286879744371064e-07
49,zw,9846352.0,8286322700.0,2,841.5627127691555,2.0312091219164214e-07
50,id,178949168.0,94451427898.007,1,527.8114950386749,5.588179096758919e-09
51,li,28382.0,1120000000.0,1,39461.630610950604,3.523359875977732e-05
52,rw,7141981.0,2405022587.80045,1,336.7444673684304,1.40017174506625e-07
53,ng,92744064.0,44003061108.4005,1,474.4569001030675,1.0782361230148379e-08
54,co,31923126.0,39540080200.3938,1,1238.6030177744435,3.1325253046960376e-08
55,cg,2319181.0,2389593021.94866,1,1030.3607273208343,4.3118669909765557e-07
56,ca,27244408.0,567225367034.465,1,20819.882268481113,3.670477993135325e-08
57,bo,6949147.0,4715972853.37585,1,678.6405372308069,1.4390255379545145e-07
58,ug,17028548.0,5276480789.75396,1,309.86087538138656,5.8724913010786356e-08
59,us,244954096.0,5641580000000.0,1,23031.172338510314,4.08239754439542e-09
60,mw,9174895.0,2314204989.72207,1,252.23231325503673,1.0899307294524897e-07
61,ni,4129449.0,1013184755.57026,1,245.3559192934118,2.421630585581757e-07
62,ne,8116080.0,2179567111.0004,1,268.5492394111936,1.232121911070369e-07
