country,degree
de,100111
gb,95295
fr,85659
it,73717
es,54634
nl,44831
be,30645
se,30264
gr,27817
dk,21419
fi,20687
at,18813
ch,17439
pt,17209
no,15976
pl,13428
cz,10623
ie,10261
hu,8516
sk,5338
si,5221
ro,5219
bg,4672
lt,2599
ee,2506
lv,1920
is,1840
cy,1810
lu,1098
mt,660
hr,513
li,98
