country,count_proj
de,18823
gb,18325
fr,13674
it,12435
es,11854
nl,8587
be,5991
se,4679
ch,4586
gr,3836
at,3654
fi,2918
dk,2864
pt,2470
no,2266
pl,2257
ie,2026
hu,1670
cz,1447
ro,1115
si,946
bg,722
ee,559
sk,499
cy,472
is,278
lu,259
