country,count_proj
de,10589
gb,8899
fr,7955
it,6699
es,5093
nl,4154
be,3085
se,2671
gr,2268
ch,2014
at,1975
dk,1711
fi,1446
no,1290
pt,1173
ie,909
is,133
lu,111
li,5
