country,count_proj
gb,10670
de,9687
fr,8968
it,6456
es,4869
nl,4698
be,2861
gr,2711
se,2685
dk,1935
pt,1602
fi,1569
at,1372
ie,1262
no,1147
ch,1043
lu,121
