source,target,weight
de,fr,21892
de,gb,21304
de,it,17937
fr,gb,16646
fr,it,13866
gb,it,13263
de,es,12371
de,nl,10665
es,gb,9913
es,fr,9908
es,it,9290
gb,nl,8969
be,de,7811
de,se,7716
fr,nl,7314
be,fr,6857
be,gb,6160
it,nl,6001
ch,de,5887
at,de,5858
gb,se,5831
de,gr,5573
fr,se,5292
be,it,5245
es,nl,4752
gr,it,4656
fr,gr,4604
de,pl,4566
gb,gr,4431
dk,gb,4161
ch,gb,4155
it,se,4146
de,dk,4145
ch,fr,4142
de,fi,3927
be,es,3750
gb,pl,3521
be,nl,3499
at,gb,3395
ch,it,3367
gb,no,3190
at,fr,3177
es,gr,3117
es,se,3100
fr,pl,3093
fi,gb,3017
it,pl,2973
cz,de,2898
dk,fr,2873
de,no,2872
nl,se,2869
at,it,2771
de,pt,2740
fi,fr,2588
de,hu,2499
fr,no,2437
fr,pt,2408
gb,pt,2384
dk,it,2329
dk,nl,2291
es,pl,2274
cz,gb,2221
it,pt,2216
fi,it,2207
ch,es,2193
be,se,2170
gb,ie,2061
gb,hu,2016
dk,es,1982
gr,nl,1977
at,es,1973
ch,nl,1973
cz,fr,1949
it,no,1931
de,ie,1883
fr,hu,1881
es,pt,1860
at,nl,1821
nl,pl,1821
hu,it,1767
cz,it,1718
es,fi,1701
be,gr,1685
nl,no,1650
es,no,1573
dk,se,1526
fr,ie,1500
be,ch,1490
fi,se,1477
fi,nl,1460
ch,se,1425
es,hu,1377
be,pl,1334
at,be,1324
gr,se,1320
cz,es,1296
de,si,1292
ie,it,1290
be,dk,1275
de,ro,1264
at,se,1238
hu,nl,1181
no,se,1156
pl,se,1151
cz,nl,1106
it,ro,1098
be,fi,1095
nl,pt,1089
es,ie,1087
fr,ro,1081
at,ch,1069
ch,gr,1020
be,no,1020
at,gr,1018
be,pt,971
dk,no,962
fr,si,951
gb,ro,949
ie,nl,935
gr,pl,921
ch,dk,918
at,pl,900
dk,gr,898
gb,si,885
de,sk,884
gr,pt,874
be,hu,871
fi,gr,853
it,si,844
be,cz,835
bg,de,831
dk,fi,831
gr,no,824
dk,pl,803
ch,pl,788
bg,gb,784
ch,fi,768
pt,se,758
es,ro,757
at,dk,737
cz,se,729
es,si,721
at,hu,688
be,ie,680
at,fi,679
gb,sk,674
bg,it,670
hu,se,667
fi,pl,663
hu,pl,637
ee,gb,623
pl,pt,623
gr,ro,622
no,pl,620
de,ee,618
at,cz,607
it,sk,602
fr,sk,602
fi,no,593
bg,fr,578
cz,pl,573
gb,lt,560
gr,hu,558
ie,se,551
ch,cz,527
cz,gr,525
gr,ie,515
de,lt,515
nl,si,507
no,pt,493
dk,hu,484
cz,dk,476
ch,no,474
dk,pt,472
ch,pt,467
at,no,463
dk,ie,452
at,pt,451
nl,ro,450
bg,es,450
be,si,441
bg,nl,440
es,sk,439
fi,hu,437
cy,it,426
cz,fi,422
it,lt,419
de,lv,415
ch,hu,413
ee,it,409
pl,si,406
ie,no,406
cz,hu,403
ch,ie,403
at,si,401
ee,fr,398
cy,de,397
fi,pt,392
cy,gb,380
ie,pl,378
at,ie,378
be,ro,376
bg,gr,375
pl,ro,372
fr,lt,357
cy,fr,352
nl,sk,349
fi,ie,343
hu,pt,339
gb,lv,337
be,bg,336
ee,es,331
cy,gr,324
ee,se,317
hu,no,316
ie,pt,315
bg,pl,312
cz,no,311
se,si,308
ro,se,307
pl,sk,306
at,ro,305
be,sk,302
gr,si,298
fr,lv,288
cy,es,286
es,lt,284
hu,ro,284
at,sk,283
cz,pt,277
gb,is,271
hu,sk,268
bg,hu,265
de,lu,261
ee,nl,261
dk,si,260
hu,si,258
ch,si,253
ch,ro,253
de,hr,252
se,sk,251
at,bg,246
it,lv,244
lt,nl,243
hu,ie,234
lt,pl,226
dk,ee,226
bg,ro,225
be,ee,221
cz,sk,219
bg,se,217
ee,pl,216
hr,it,216
de,is,213
gb,hr,210
ee,fi,206
cz,ro,205
fr,hr,204
bg,dk,202
dk,ro,201
cz,si,199
lt,se,198
fi,ro,196
gr,sk,193
pt,ro,192
es,mt,190
lv,nl,189
cz,ie,188
lv,pl,186
it,mt,186
fr,lu,184
ee,no,180
fi,si,180
es,lv,179
fi,sk,177
be,lt,176
bg,fi,175
dk,sk,174
no,ro,174
fr,is,174
gb,lu,172
cy,nl,172
bg,ch,170
de,mt,168
lv,se,165
pt,si,164
is,no,163
bg,cz,162
at,ee,162
ee,gr,162
be,cy,160
dk,lt,159
no,si,157
bg,pt,156
hu,lt,153
ee,hu,152
gr,hr,148
ro,si,146
is,it,146
es,hr,145
gr,lt,145
gb,mt,143
at,lt,142
es,is,141
ro,sk,141
be,lv,141
is,nl,140
bg,si,139
bg,no,139
fr,mt,138
ch,sk,137
cz,lt,133
bg,sk,132
ch,ee,131
si,sk,126
be,lu,125
it,lu,124
cy,pl,121
hr,nl,121
fi,lt,119
pt,sk,119
lt,si,116
hu,lv,114
ie,si,111
ee,lt,111
at,lv,110
cz,ee,109
ie,ro,108
cy,pt,107
be,hr,107
no,sk,107
fi,lv,107
dk,lv,106
ch,lt,103
lt,lv,103
dk,is,102
gr,lv,99
at,cy,99
ch,cy,97
hr,pl,96
lt,ro,96
bg,ie,96
cy,hu,95
bg,lt,95
cy,se,94
gr,mt,94
lu,nl,94
at,hr,93
cy,dk,92
lt,sk,91
cz,lv,89
ee,ro,88
ie,sk,88
ee,lv,86
ee,pt,86
ee,si,84
is,se,83
ee,ie,83
is,pt,82
bg,ee,82
cy,fi,82
cy,cz,81
cy,ro,81
lt,no,80
at,lu,79
ee,sk,79
hu,mt,79
hr,se,78
lv,si,76
hr,si,75
be,is,75
hr,hu,74
lv,pt,73
ie,lt,71
lv,ro,71
mt,pl,69
lt,pt,69
ch,lv,69
mt,nl,68
hr,ro,67
es,lu,66
cy,no,66
lv,no,66
lv,sk,65
gr,lu,64
bg,cy,64
gr,is,63
at,mt,62
dk,hr,62
lu,pl,60
cy,si,60
is,pl,60
be,mt,57
mt,pt,56
bg,lv,56
hr,no,56
lu,se,54
cy,sk,52
hr,pt,52
bg,hr,52
cy,ie,49
ch,lu,49
mt,se,49
cy,lt,48
dk,mt,47
cy,ee,46
fi,hr,46
ie,is,45
ch,hr,45
fi,is,45
mt,ro,44
cz,hr,42
bg,mt,42
cy,mt,42
ee,mt,42
cy,lv,42
ie,lv,41
ch,is,41
mt,sk,40
cz,mt,38
fi,lu,37
mt,si,36
ch,mt,36
lt,mt,34
lu,si,34
mt,no,33
hr,sk,33
at,is,31
lu,no,31
hr,ie,30
ie,mt,30
cy,hr,30
ie,lu,29
cz,lu,29
lv,mt,29
lu,pt,28
ee,hr,27
cz,is,27
fi,mt,26
hu,is,23
hr,lv,23
hu,lu,23
dk,lu,22
lu,sk,21
is,ro,20
ee,is,19
is,si,19
lu,ro,17
hr,lt,16
is,lv,16
cy,lu,15
bg,is,14
bg,lu,14
cy,is,14
is,lt,13
lu,lv,13
lt,lu,13
ee,lu,12
is,sk,11
hr,mt,9
de,li,8
is,mt,7
is,lu,7
hr,lu,6
li,nl,6
gb,li,5
it,li,5
li,no,4
ch,li,3
hr,is,3
lu,mt,3
fr,li,2
at,li,2
fi,li,2
gr,li,2
cz,li,1
li,se,1
be,li,1
dk,li,1
