source,target,real collaborations,weight
fr,gb,943.9999999999997,165.76924338876236
de,fr,806.0000000000003,169.50533875297887
de,gb,726.9999999999998,269.9359190164052
fr,it,692.0000000000003,173.6977694313823
de,it,442.99999999999994,275.2959411869704
gb,it,416.0,157.96137536660473
gb,nl,374.0000000000001,113.59418243570113
be,fr,374.0000000000001,58.28799541537007
fr,nl,288.99999999999994,53.48113292346783
de,nl,268.00000000000006,188.71218153374346
be,de,259.00000000000006,168.30734462767316
be,gb,230.00000000000009,105.17082428967409
dk,gb,212.0000000000001,40.16895350816177
es,fr,194.99999999999991,743.8030884797906
it,nl,176.00000000000006,66.7031310088832
de,dk,165.0,48.85826715550499
gb,ie,156.0,96.36584819748118
be,it,138.0,70.70833418808607
be,nl,133.0,85.44931760907798
es,gb,132.00000000000006,201.9330424911483
de,es,124.99999999999994,212.11115103594804
fr,ie,120.99999999999993,30.279034440192852
fr,gr,120.99999999999993,58.032910495268275
dk,fr,119.99999999999996,19.112078938437
gb,gr,109.99999999999997,59.40364070480706
de,gr,108.00000000000004,92.75565955843547
gb,pt,107.00000000000001,116.07752039860274
de,ie,102.99999999999996,38.33719519230829
es,it,99.0,226.53671919818603
dk,nl,96.99999999999999,19.409150764213216
fr,pt,89.99999999999997,244.82420383645842
dk,it,83.99999999999999,26.12226335655937
de,pt,79.99999999999999,113.59978875909692
gr,it,74.00000000000001,145.88718323788981
be,dk,73.0,11.310507874203013
es,pt,70.00000000000001,443.13653300417053
ie,it,68.00000000000001,32.6232360901639
ie,nl,63.0,18.238678018481487
be,ie,60.0,14.010783410557767
es,nl,60.0,64.98888687080985
gr,nl,58.00000000000001,26.127353804017925
be,es,49.99999999999999,70.0068316756299
it,pt,47.00000000000001,113.29147807839755
dk,es,45.00000000000001,24.324102157141844
dk,ie,44.0,5.499979431686235
nl,pt,40.000000000000014,40.44565993081338
dk,gr,38.99999999999999,10.431330891229194
be,pt,38.99999999999999,37.20734458804313
es,ie,38.99999999999999,37.25433218712529
be,gr,36.0,23.099315865420685
es,gr,35.0,78.95714298735359
ie,pt,27.000000000000004,28.390592495184055
dk,pt,26.0,13.63778307368342
gr,pt,23.999999999999993,48.01225745238069
gr,ie,21.999999999999996,11.102067709699625
fr,se,17.999999999999996,14.712206155526038
gb,se,17.0,26.338396521430294
dk,se,17.0,6.331889779465028
nl,se,16.0,10.587480647362776
ch,fr,16.0,24.916307362579104
de,se,12.999999999999998,31.676886198701297
fi,gb,12.999999999999998,19.868695469875945
it,se,12.000000000000002,19.382510377777592
gr,se,12.000000000000002,10.059983082245886
be,se,10.999999999999996,8.026882660146061
es,se,10.999999999999996,19.121462053237185
ie,se,10.0,5.234958484453044
pt,se,10.0,12.135147268745929
ch,gb,10.0,26.683008651551248
gb,lu,9.0,4.09512831922286
ch,nl,7.999999999999999,13.252821896320198
fi,fr,7.999999999999999,12.128639923851695
fr,no,7.0,7.443480734726176
gb,no,7.0,12.671893809488191
fi,se,6.0,9.27759627407125
be,lu,5.000000000000001,4.93359654657285
dk,fi,5.000000000000001,3.302960530404255
de,fi,4.0,18.984309205855634
at,de,4.0,116.00969209902844
fi,nl,4.0,6.933218323487392
at,nl,3.0,21.62005925320314
it,no,3.0,9.246288219472232
de,lu,3.0,8.602151722410886
at,fr,3.0,36.1138197983327
fr,lu,3.0,2.7270033213309097
ch,it,3.0,47.651768515271186
ch,es,3.0,30.495185743421406
fi,no,2.0,4.274280527350339
be,ch,2.0,12.064601096432906
de,no,2.0,13.576627552068945
nl,no,2.0,4.645755200462243
no,pt,2.0,7.63205710599631
dk,no,2.0,2.379083614900217
fi,gr,2.0,8.116347637321669
es,no,2.0,9.787736788279506
