source,target,real collaborations,weight
de,fr,40663.00000000004,34336.2089282644
de,es,37922.00000000001,22629.31178398873
es,it,37827.00000000003,17148.558753602694
de,it,37334.0,28948.543518750743
es,fr,32816.0,18239.210976799557
de,gb,32192.000000000022,34535.85984336805
fr,it,31523.999999999967,23900.280651529007
fr,gb,25418.999999999978,28563.533982710487
de,nl,25291.00000000002,11800.56008434958
es,gb,24621.999999999993,20585.77180360555
gb,it,24203.99999999998,24801.69701035649
fr,nl,18471.0,10264.045817039902
be,de,18249.000000000004,10624.459385575925
es,nl,17748.000000000007,7398.491159801153
it,nl,17030.000000000015,9114.900826799098
be,es,16188.999999999995,5740.7040089514185
gb,nl,15982.999999999993,10078.646502464473
be,fr,15683.000000000013,8687.314945474736
be,it,14799.000000000005,7464.725876272984
at,de,14627.0,9193.160812694477
de,se,13080.000000000013,8540.092466925671
es,gr,12657.000000000005,3333.454808315824
ch,de,12101.000000000011,10729.125328696718
be,nl,12016.99999999999,2932.592091255358
gr,it,11913.000000000007,5389.132192732318
be,gb,11428.000000000011,8667.039578640968
de,gr,10407.000000000002,5639.646831113189
es,se,9963.999999999996,5162.1156813580965
fr,se,9488.999999999996,7192.921805135858
at,es,9393.000000000004,4980.390018382579
ch,fr,9333.000000000004,8635.58913383039
it,se,9170.999999999998,6364.86830434163
es,pt,9103.000000000002,3141.936643181503
at,it,9027.000000000002,6198.230257701936
fr,gr,8767.999999999996,4658.719994688838
de,fi,8617.999999999998,4945.204591623243
ch,it,8600.000000000004,7203.495785715926
at,fr,8479.0,7569.357535028617
ch,gb,7970.999999999997,8913.206124326762
gb,se,7945.999999999999,7142.079348362428
ch,es,7598.999999999998,5699.521090438333
it,pt,7383.0,4237.632847191493
es,fi,7376.000000000001,2972.697313796144
gb,gr,7311.000000000001,4797.316374625191
de,pt,7067.000000000002,5869.680953483587
de,dk,6819.000000000004,5316.70487806038
fi,fr,6755.000000000003,5671.09776827307
de,no,6724.999999999999,6010.239028001616
fr,pt,6509.999999999996,4473.461397319082
fi,it,6471.000000000003,4835.108571816482
at,gb,6007.0,7748.560043380508
nl,se,5955.000000000003,2993.178168170193
de,pl,5762.000000000003,13302.514145748935
es,pl,5731.000000000001,8251.595846985847
at,nl,5706.000000000002,2708.6829239708613
es,no,5683.0,3591.157194706494
fr,no,5664.000000000001,5007.740123888373
dk,es,5648.0,4008.3619356551726
it,pl,5542.000000000001,9970.303311872958
fr,pl,5532.999999999997,11492.124739856301
ch,nl,5529.0,3114.1265049010985
dk,fr,5276.000000000001,6088.727957327515
gr,nl,5274.000000000001,2397.5183632611643
