source,target,real collaborations,weight
de,fr,7255.000000000001,5638.472380455068
de,gb,7039.000000000001,4326.964011558214
fr,gb,6730.000000000002,2946.800946214585
fr,it,4787.0,3493.0753088496276
de,it,4078.999999999998,5132.473276106125
gb,it,3915.0,2793.896478702068
es,fr,3198.9999999999986,1545.966934486613
gb,nl,3179.999999999999,951.1862018800604
de,nl,3141.000000000001,1749.3985095281716
fr,nl,2678.0000000000005,1214.0528796340993
es,gb,2670.000000000001,1238.6225111306053
de,es,2642.9999999999995,2232.9710334712677
be,fr,2168.999999999999,815.0921316207374
es,it,2153.000000000001,1465.7977327375495
be,de,1976.9999999999998,1188.6812710596864
be,gb,1735.000000000001,623.6016192567672
gb,gr,1730.0000000000002,235.13276440275538
de,gr,1723.0000000000005,433.10386822588805
fr,gr,1601.0000000000002,294.82376417490053
dk,gb,1517.9999999999995,484.0702766803555
it,nl,1424.9999999999998,1121.9039702367922
de,dk,1403.9999999999998,977.2468573980432
gr,it,1282.9999999999995,292.96217872752015
fr,pt,1257.0,264.32919261987945
gb,pt,1240.0000000000002,214.80194315321913
dk,fr,1157.9999999999998,635.0708431560591
de,se,1150.0000000000002,1782.9162399231145
es,nl,1141.0,510.33072228851125
be,it,1083.0,747.2381524628845
gb,ie,1081.9999999999995,153.3407039626109
de,pt,1075.0,400.1841081060225
gb,se,1071.0000000000005,961.8119360509965
fr,se,1016.0000000000002,1222.5133074895523
be,nl,957.0000000000001,251.20170730112315
de,ie,871.0000000000003,292.01316770985204
fr,ie,849.0000000000002,197.65502660460285
es,gr,843.0000000000001,123.589339985347
it,pt,830.9999999999997,250.23782671870563
be,es,792.9999999999997,323.1189359921398
es,pt,790.9999999999998,110.0382725697278
dk,nl,757.9999999999998,197.47944360819469
ch,de,743.9999999999998,1779.2997865175316
ch,fr,726.9999999999998,1212.908382211292
gr,nl,693.9999999999999,103.17487432102658
dk,it,669.0000000000002,580.5135403882277
ch,gb,596.9999999999999,939.8267353860895
gb,no,583.0,483.1262712823612
nl,se,548.0,378.55870417556616
ie,it,548.0,187.38154159832928
de,fi,546.0,650.6812907630441
it,se,536.0000000000002,1128.215911674938
nl,pt,521.0000000000002,84.83861590461301
dk,es,509.9999999999999,251.3997176638244
be,gr,487.00000000000017,63.103163340801295
de,no,479.99999999999994,898.0993935316967
ie,nl,477.0,64.18678176803743
fi,gb,463.9999999999998,334.2644171884597
fr,no,463.9999999999998,613.3267449668759
ch,it,455.0000000000002,1099.674479722737
gr,pt,444.99999999999994,22.968781257399215
es,ie,440.0,83.05973052283622
at,de,425.99999999999994,1046.8630563468244
fi,fr,409.00000000000006,435.88052924731716
be,pt,389.9999999999999,57.91888287280653
be,dk,383.0000000000001,142.63822942753637
dk,gr,378.99999999999983,48.78431273288196
es,se,344.9999999999999,513.0459445265062
be,se,343.9999999999999,259.660680178341
dk,se,339.99999999999983,198.0313702584061
ch,nl,320.99999999999983,383.1510150608964
at,fr,309.99999999999994,719.7123842096502
be,ie,294.0,42.15056782119625
at,gb,278.9999999999999,555.9552023559373
dk,pt,272.0,45.00460250285936
nl,no,269.00000000000006,190.58024136940196
dk,ie,265.00000000000006,32.697506701821425
gr,ie,265.00000000000006,16.915324941638726
ch,es,263.0000000000001,480.6005720273874
fi,nl,260.99999999999994,137.4507176631911
fi,it,254.0,398.43014702961796
at,it,244.0000000000001,648.0179657507318
it,no,236.00000000000009,566.8298589732391
ie,pt,234.00000000000006,14.347142463524435
