source,target,real collaborations,weight
de,fr,21892.000000000015,15779.866937395595
de,gb,21303.999999999996,17156.168094949266
de,it,17937.000000000015,14786.801564196812
fr,gb,16645.999999999985,13742.59592003921
fr,it,13866.000000000011,11868.279948143003
gb,it,13262.999999999998,12230.858545564533
de,es,12371.00000000001,10068.416408124802
de,nl,10664.999999999998,6109.878031785611
es,gb,9913.000000000002,9488.493396180786
es,fr,9907.999999999998,9941.232122898029
es,it,9290.000000000002,8235.657189099311
gb,nl,8969.000000000004,5071.620969824993
be,de,7811.000000000001,5202.004888706143
de,se,7716.000000000003,3541.5187520310483
fr,nl,7314.000000000001,4623.365305860998
be,fr,6856.999999999997,3851.048342127667
be,gb,6160.000000000002,4225.602897042995
it,nl,6001.0,4327.2586756036935
ch,de,5887.000000000001,4713.787935390705
at,de,5858.000000000002,4405.3948069085045
gb,se,5831.0,3010.4484394437072
de,gr,5573.000000000003,3052.5676074927087
fr,se,5291.999999999999,2779.1246777174374
be,it,5245.000000000001,3532.0033919299344
es,nl,4752.000000000002,3191.598836711773
gr,it,4655.999999999998,3103.7110263300783
fr,gr,4603.999999999999,2448.5521796754497
de,pl,4566.000000000002,5285.451558741394
gb,gr,4431.000000000002,2545.4289415963704
dk,gb,4161.000000000001,2892.587812525227
ch,gb,4155.000000000002,3751.0493403328824
it,se,4145.999999999999,2611.6424076537755
de,dk,4145.000000000002,2536.767895190396
ch,fr,4142.000000000001,3552.396961007054
de,fi,3926.9999999999986,2092.7858053601462
be,es,3750.0,2449.768707876644
gb,pl,3521.0,4297.800229881235
be,nl,3499.0,1521.619388292988
at,gb,3394.9999999999995,3448.7555627356037
ch,it,3366.9999999999986,3369.1276070863605
gb,no,3189.999999999999,1940.9399684580678
at,fr,3177.000000000001,3235.824333299526
es,gr,3116.9999999999995,1704.4031812764606
es,se,3099.9999999999995,1928.0043490043051
fr,pl,3092.999999999999,4030.335477934629
fi,gb,3017.0,2490.548335400648
it,pl,2973.000000000001,3872.9305961759633
cz,de,2897.9999999999986,3451.996422196473
dk,fr,2873.0000000000005,2606.745813512174
de,no,2871.9999999999995,2263.9916153784006
nl,se,2869.000000000001,1216.678038311022
at,it,2771.0000000000005,3133.7971956640386
de,pt,2740.0,2652.232446946249
fi,fr,2587.999999999999,2285.988485935662
de,hu,2499.0000000000005,2090.2169969739907
fr,no,2436.9999999999995,1798.4448464668117
fr,pt,2407.9999999999995,2330.2206575503633
gb,pt,2384.0000000000014,2288.987698992282
dk,it,2329.0000000000005,2411.8754934097383
dk,nl,2290.9999999999995,1002.5114861041658
es,pl,2274.0000000000005,2794.460180821376
cz,gb,2221.0,2675.366611270171
it,pt,2215.999999999999,2027.464141759822
fi,it,2206.999999999999,2115.177075795868
ch,es,2193.0,2262.92536814694
be,se,2170.0000000000005,845.0931167915065
gb,ie,2060.999999999999,1771.5102493742922
gb,hu,2015.999999999999,1707.034772625256
dk,es,1982.0,1665.3192073733571
gr,nl,1976.9999999999998,1161.7915098619228
at,es,1972.999999999999,2068.4760794578137
