source,target,real collaborations,weight
de,gb,10613.000000000002,6563.730040642353
de,fr,10318.000000000002,6309.378031922372
fr,gb,10211.999999999989,4246.30009404531
fr,it,7213.000000000002,3997.952484731237
gb,it,6934.000000000001,3272.153605413035
de,it,6918.000000000002,6095.026567535449
gb,nl,5619.000000000002,2163.4293052136504
de,nl,5306.999999999998,3932.404462608063
es,gb,4864.999999999999,2125.908476992895
es,fr,4794.0,5044.448268833628
de,es,4365.000000000002,2593.4667515632814
fr,nl,3888.0000000000014,1713.8872691452962
es,it,3885.000000000002,2072.5785189580233
gb,se,3448.000000000001,1058.1836336614092
be,fr,3266.9999999999986,1444.4611559028524
de,se,3235.000000000001,1630.8771625314962
be,de,3163.000000000001,3126.5364187825053
be,gb,3047.9999999999986,1601.6706572086373
gb,gr,2782.9999999999995,423.7363398555579
it,nl,2597.9999999999995,1547.9364172812896
dk,gb,2385.999999999999,1039.347097238832
gr,it,2357.0,814.6864800816969
fr,se,2349.000000000001,914.790478376338
de,gr,2324.0000000000005,746.2137416952318
fr,gr,2196.0000000000005,487.366440885788
at,de,2142.000000000001,2581.633187923432
de,dk,2046.9999999999989,1662.406978019421
de,fi,2036.0000000000005,741.1135747009121
gb,pt,2016.9999999999993,433.3525240723075
gb,ie,1995.0000000000005,595.1527608225101
be,nl,1843.9999999999998,1036.1443180936442
be,it,1821.0000000000002,1202.1773481548619
es,nl,1803.9999999999998,856.9829956760736
fi,gb,1796.0000000000007,581.036886278283
it,se,1715.000000000001,849.6534221273026
fr,pt,1692.0000000000002,738.4500224420802
ch,de,1684.9999999999995,3155.2568097830135
gb,no,1682.9999999999998,604.7068770794914
de,pt,1583.0000000000002,601.1407146588793
es,gr,1511.9999999999995,258.1743430721444
dk,fr,1507.9999999999995,867.055368217138
nl,se,1502.0000000000007,475.5389269137342
es,pt,1480.0000000000005,452.58051343084907
fi,fr,1339.0,550.5127721835362
at,gb,1293.9999999999993,1023.553363767244
ch,fr,1280.9999999999998,1649.690502336348
ch,gb,1280.9999999999998,1401.3571727530993
es,se,1267.0000000000005,473.4000601499062
dk,nl,1254.0,515.6201248606102
it,pt,1235.0,401.93528620336326
be,es,1217.9999999999995,581.4318459832855
de,no,1188.9999999999998,878.5437866378189
gr,nl,1127.9999999999998,264.81240127173567
de,ie,1085.0,521.3023099153188
fr,ie,1078.0000000000002,383.49964242671984
at,fr,1067.9999999999995,1129.5102572334697
dk,it,1060.0000000000005,766.9602069687252
fi,it,1046.9999999999998,487.0884472784384
at,it,1018.0000000000001,1371.5202273891528
fr,no,996.0000000000002,536.3689931147239
fi,nl,969.0000000000006,244.10483869432656
dk,se,939.0,300.2555373031705
ch,it,906.0000000000001,1732.3869958996881
fi,se,839.0000000000003,292.295233480579
dk,es,768.9999999999999,359.49631599982325
be,se,760.9999999999999,319.46101474388934
be,gr,750.0000000000001,144.8791135041841
nl,no,747.0000000000003,259.2658426271772
ie,it,745.9999999999997,375.475738000435
nl,pt,734.9999999999998,181.033300750024
it,no,732.9999999999997,483.43547525506585
es,fi,710.0000000000003,224.64793636049276
at,nl,681.9999999999999,512.7969297616227
ch,nl,678.0,705.059166916826
at,es,650.9999999999997,470.3148264169874
gr,pt,644.9999999999997,71.5834000452991
