,country,count_proj
34,de,11460
49,gb,11094
47,fr,10191
67,it,8034
41,es,5949
103,nl,4945
10,be,3128
55,gr,2981
118,se,2881
35,dk,2130
4,at,1930
43,fi,1924
22,ch,1715
111,pt,1655
104,no,1584
109,pl,1224
62,ie,1026
32,cz,868
60,hu,782
63,il,738
120,si,442
113,ro,371
12,bg,354
121,sk,341
115,ru,235
139,us,224
39,ee,215
82,lv,176
80,lt,174
66,is,167
31,cy,166
26,cn,143
81,lu,112
19,ca,102
133,tr,90
16,br,82
131,tn,73
137,ua,69
146,za,67
83,ma,65
5,au,54
40,eg,52
3,ar,52
93,mt,50
69,jp,49
68,jo,43
64,in,39
96,mx,38
59,hr,36
70,ke,36
128,th,30
74,kz,28
138,ug,28
143,vn,27
76,lb,24
124,sn,24
110,ps,23
37,dz,23
61,id,22
24,cl,22
126,sy,22
29,cu,21
136,tz,20
15,bo,20
7,ba,19
18,by,19
148,zw,18
28,cr,17
107,pe,17
11,bf,17
27,co,16
114,rs,16
89,ml,16
102,ni,15
51,gh,14
77,li,14
88,mk,13
2,am,13
50,ge,13
141,uz,12
108,ph,12
147,zm,12
25,cm,11
9,bd,11
98,mz,11
97,my,11
142,ve,10
101,ng,9
85,md,9
71,kg,9
73,kr,8
1,al,8
106,nz,8
140,uy,8
78,lk,8
23,ci,7
72,kh,7
42,et,7
56,gt,6
17,bw,6
99,na,6
14,bj,6
38,ec,6
125,sv,5
130,tm,4
135,tw,4
6,az,4
52,gm,4
105,np,4
75,la,4
91,mr,4
58,hn,3
95,mw,3
84,mc,3
87,mg,3
90,mn,3
127,sz,3
57,gw,3
13,bi,3
44,fj,3
46,fo,3
100,ne,3
119,sg,2
45,fk,2
79,ls,2
134,tt,2
36,do,2
112,py,2
20,cd,2
117,sd,2
144,ws,2
123,sm,2
53,gn,2
94,mu,2
122,sl,2
8,bb,1
145,xk,1
65,ir,1
132,to,1
129,tj,1
21,cg,1
116,sc,1
30,cv,1
33,dc,1
48,ga,1
92,ms,1
86,me,1
54,gp,1
0,ad,1
