"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",86.2394002469656,574.16059578152,989.89019412255,1877.44778875225,2774.663988843,3839.73290087815,5512.31325993007,8592.26341857273,4991.64490947
"2",0,457.439136484909,883.787519648955,1508.90871320256,2230.27119846352,3079.53591679526,4435.08473720103,6885.04845422436,4004.94801165149
"3",0,0,390.487240926293,786.148693668448,1404.86656550185,2088.07778571669,2873.41490542945,4509.84918568907,2819.85661123262
"4",0,0,0,560.729885599362,1030.22178679885,1543.79789760387,2126.72255350998,3396.67841964973,2158.98035285547
"5",0,0,0,0,1030.22178679885,1543.79789760387,2126.72255350998,3396.67841964973,2158.98035285547
"6",0,0,0,0,0,1543.79789760387,2126.72255350998,3396.67841964973,2158.98035285547
"7",0,0,0,0,0,0,2126.72255350998,3396.67841964973,2158.98035285547
"8",0,0,0,0,0,0,0,3396.67841964973,2158.98035285547
"9",0,0,0,0,0,0,0,0,2158.98035285547
