country,degree
de,257093.69858801714
gb,227311.76686808033
fr,222721.76015543446
it,201350.6073669157
es,159295.33104446388
pl,103227.26367985395
nl,92972.63748311915
ch,71553.06730593405
be,71190.18947007274
se,66811.65367932162
at,61586.12665425353
ro,55961.49417019971
cz,53184.91674721166
dk,47641.366591114805
no,47225.07526350947
gr,46293.53274136101
pt,45630.41193074088
fi,43615.06367120054
ie,42151.44221019302
hu,38488.07970615262
bg,31389.376352221792
sk,24347.719386802157
hr,19595.777111723328
lt,15429.864831306253
si,12648.926554459922
cy,12316.457785873085
ee,11966.823108304798
lv,11133.743410347797
lu,9616.164694235811
is,5948.859349252803
mt,4820.496476762469
li,819.0581436026714
