country,degree
de,149053.78198021042
fr,131730.83039082482
gb,128620.80481641032
it,120309.28240366498
es,94362.77131704251
nl,54876.657809047945
pl,52710.50126111477
ch,39343.68190595463
be,39156.51824288282
se,38209.72723131453
at,33575.2820752215
gr,31278.927444914203
no,30344.526445862437
cz,27373.943822663514
dk,27189.94558980231
ro,26936.123848989628
pt,26911.323968372457
fi,24946.77376587023
ie,20865.36854274863
hu,19934.6510887474
bg,14233.966479553977
sk,13226.744326764958
hr,10652.358255144833
lt,7624.482155413042
si,7218.180863314844
cy,6318.078651802133
lv,5503.578423549823
lu,5410.950637297238
ee,5318.877968501531
is,2676.60926629821
mt,2179.362080624632
li,586.308795910501
