country,degree
de,29066.803241484027
fr,21661.774855729887
it,20319.098699700375
gb,17609.020347921924
es,9789.905075871662
se,7764.960951854989
ch,7699.17459995127
nl,7678.835178407868
be,5254.267615055815
at,4643.254185894294
dk,4162.559930653232
no,3978.1973886718506
fi,2861.441836975108
gr,2004.2331919707146
pt,1797.953532859002
ie,1323.184449610633
lu,769.1559624932831
pl,655.8790065593527
hu,398.01432136247735
is,321.0540882057458
cz,160.32458502752493
sk,129.43575171410467
ro,121.2323155001656
cy,48.92645298803921
bg,15.224238584743672
