country,degree
de,83940.89036577399
gb,73748.17887771163
fr,67547.1723944129
it,62712.05452906525
es,42759.107977061205
nl,28234.683343931163
pl,21149.06797969693
be,19867.484425633298
ch,19068.12064348584
se,18713.656784768635
at,16930.2490070044
gr,13526.743858398122
dk,13402.77237161752
pt,12378.45816832697
no,12144.16631995235
fi,11325.679165686579
cz,11048.922708466904
ie,9055.130037488345
hu,8020.643868496375
ro,7729.398195702322
bg,5145.806420956328
sk,4815.069468768023
hr,4353.832634406747
si,3087.5820091351793
lt,2694.688219217666
cy,2236.875747961577
lu,2224.2655340894335
lv,1973.00885787225
ee,1844.2489510300222
is,1230.7613637136685
mt,880.3034619001735
li,272.80630033739743
