country,degree
de,117129.89609214767
gb,103248.09940506074
fr,98598.47225685266
it,94296.20159600228
es,69081.34978710508
nl,41466.23052638903
pl,36973.8479139288
be,31131.48313404773
ch,28630.295033101906
at,26599.289206693753
se,25775.927863186207
gr,23124.737934492914
cz,20609.132318626624
dk,20527.81541563871
pt,19971.419677354388
fi,17547.49535200388
ro,17173.954755006052
no,16848.22241034649
hu,16291.721233089027
ie,15068.160675013185
bg,10540.129887808107
sk,9319.732595952868
hr,8399.088281356237
lt,5420.524315694691
si,5152.958511178992
cy,4381.033392435504
ee,3964.4187893234025
lv,3830.8426892319985
lu,3260.2493254310834
is,1890.1665319095168
mt,1407.6739128470144
li,273.40460281875175
