country,degree
gb,61157
de,59302
fr,54088
it,41019
nl,29980
es,29349
be,19653
se,19424
gr,17332
dk,13785
pt,12408
fi,12291
at,10064
no,9251
ie,9038
ch,9023
pl,1777
hu,1689
cz,1434
is,1282
ro,964
lu,838
si,807
bg,682
sk,587
ee,450
lt,318
lv,275
cy,109
mt,105
li,38
hr,7
