country,degree
de,175866
es,175376
it,157305
fr,151651
nl,104094
be,98200
gr,80883
gb,77603
at,57310
se,51986
pt,51469
ch,48553
fi,48166
dk,41617
no,38869
pl,36403
ie,29250
cz,28997
ro,24084
si,23736
hu,18504
cy,16779
ee,13438
hr,13104
bg,13032
lt,11684
sk,10902
lu,9493
lv,9178
mt,3858
is,3574
li,56
