country,degree
de,149662
gb,122631
fr,117736
it,102362
es,77506
nl,64413
be,50590
se,45244
gr,37958
ch,32866
at,30562
pl,30069
dk,29269
fi,24851
no,22547
pt,20313
hu,18556
cz,18395
ie,14380
ro,10190
si,9547
bg,7519
sk,6965
ee,5567
lt,4888
cy,3974
lv,3598
hr,2418
is,2068
mt,1897
lu,1686
li,43
