country,ecMaxContribution
86626,187624.32
89041,13924216.39
ad,5851010.14
ae,33137466.02
af,3392025.0
ai,4424871.63
al,709235227.26
am,267178626.74
ao,10141890.06
ar,189703725.93
at,29077949977.36
au,847754651.44
aw,7237122.5
az,150187260.0
ba,335637474.81
bd,68782645.97
be,49527243437.13
bf,191136083.84
bg,6273707445.31
bi,24766652.369999997
bj,100018170.0
bo,13738644.92
bq,27851258.0
br,551865060.18
bt,3822361.75
bw,15422509.75
ca,1309288350.96
cd,161956321.01
cf,10269808.129999999
cg,28214930.52
ch,20589872300.01
ci,129619238.01
cl,144446454.14
cm,152598429.17
cn,850538101.16
co,215705172.02
cr,37314035.52
cu,13988743.98
cv,72019168.0
cy,6663369472.85
cz,14870742645.03
de,89178777518.77
dj,5489475.0
dk,20443504571.72
do,1392400.0
dz,81563826.65
ec,42937494.3
ee,7640642577.7
eg,191928505.17000002
el,330873334.07
es,102327588707.04
et,260040807.03
fi,26365042001.01
fj,287700.96
fo,298363015.25
fr,91875931923.61
ga,65266213.42
gb,30431651383.26
ge,745358957.1
gh,340396884.04
gi,5416580.34
gl,77545786.77
gm,20842398.0
gn,36024168.05
gq,2325576.75
gr,39671166637.86
gt,11999476.25
gu,2037168.48
gw,8862540.0
hk,14025175.120000001
hr,7246950288.02
ht,15395599.42
hu,8795696781.81
id,29221121.1
ie,14122598298.65
il,5594749607.44
im,2855645.0
in,365460300.67
iq,6435660.1899999995
ir,16810159.4
is,2257857436.7
it,80809202545.94
jo,36506447.59
jp,451559855.96
ke,683668945.48
kg,20515719.59
kh,16977743.3
kr,528520249.76
kw,1439800.0
kz,31168889.9
la,1656000.0
lb,116267151.03
li,13616427.16
lk,15689395.99
lr,34145149.25
ls,599947.5
lt,5652992803.26
lu,4449159266.69
lv,5202717222.36
ly,6999185.01
ma,557293455.6
mc,12290774.8
md,666441456.72
me,345884363.65
mg,64825687.55
mh,16573589.75
mk,551607951.47
ml,66614214.64
mn,6099600.0
mo,1269600.0
mp,3504055.68
mr,11433185.01
mt,2213767371.49
mu,26051801.4
mv,1971987.5
mw,51817393.4
mx,65205397.14
my,24547560.75
mz,167035002.07
na,32818126.13
nc,20998624.0
ne,9988745.87
ng,310593365.7
ni,7809605.0
nl,49974701087.44
no,19083039606.89
np,2796800.0
nu,217965.12
nz,233384107.96
pa,8179085.0
pe,66156950.839999996
pf,4478308.75
pg,6820160.85
ph,62859224.57
pk,52238617.08
pl,23961321026.02
ps,13837635.04
pt,23253581295.88
py,3949376.75
qa,1564000.0
ro,13249380451.81
rs,2736651562.13
rw,125056836.61
sa,34913517.37
sd,4434000.0
se,27267024250.32
sg,196417637.02999997
si,12504642330.7
sk,5747419849.49
sl,27218835.5
sn,272530839.96
sr,3798046.62
st,6942963.6
sv,1403000.0
sz,16031627.26
td,5489475.0
tg,18932576.25
th,158142130.12
tj,4931200.0
tm,3312000.0
tn,596586542.85
tr,7257061597.19
tw,153162338.17000002
tz,238173201.9
ua,6177726240.71
ug,369543639.66
uk,714126489.56
us,4384083759.1
uy,25567450.28
uz,36956644.0
va,221564.4
ve,1773508.75
vn,66058221.85
xk,53809885.32
za,1499061466.0
zm,98526574.4
zw,48548413.629999995
