country,ecMaxContribution
ae,18822507.98
af,299199.0
al,155865877.04
am,141755059.91
ao,9799433.0
ar,287425519.49
at,15470194409.16
au,1110595448.91
aw,815079.25
az,75391129.92
ba,145517408.34
bb,6247683.57
bd,74728529.31
be,27380953530.12
bf,96188878.93
bg,2710173014.62
bh,3966181.1399999997
bi,2633349.0
bj,48203187.480000004
bn,643000.0
bo,35083198.79
br,804981471.59
bt,299199.0
bw,18190371.98
by,223709710.74
ca,987337561.63
cd,11598705.75
cf,5458132.7
cg,4814741.6
ch,20781858305.78
ci,14202468.35
cl,250155103.23
cm,100383099.33
cn,1154231520.13
co,156622178.1
cr,54057463.33
cu,17057760.03
cv,40038351.46
cw,8007117.03
cy,1786668582.17
cz,6156572474.66
de,93370536536.66
dk,13186605490.28
do,5985746.130000001
dz,81025014.09
ec,40100659.769999996
ee,1925383928.09
eg,365112071.31
es,50578293203.73
et,96777826.38
fi,13340576983.95
fj,5899191.0
fo,67852516.4
fr,70781457716.67
ga,34886701.75
gb,73670566642.98
ge,236572900.17
gf,999744.87
gh,160471294.58
gi,11881023.0
gl,41550327.7
gm,3000000.0
gn,1930996.0
gr,15395205571.25
gt,16508065.0
gw,2999970.0
gy,10413211.629999999
hk,59885366.57
hn,11667501.0
hr,1652849166.36
ht,13456253.0
hu,5915971102.12
id,117350361.16
ie,7387881263.23
il,7452443101.52
in,737717181.27
ir,15660537.0
is,1076694610.27
it,56679523387.88
jm,19628923.04
jo,75324207.09
jp,641996323.72
ke,246148238.33
kg,25460426.92
kh,16808029.34
kr,367898948.53
kw,3966181.1399999997
kz,67819546.9
la,14890278.49
lb,77794172.2
li,40667259.4
lk,29826951.33
ls,3501805.0
lt,1473530732.44
lu,1090855944.86
lv,1114871179.6200001
ly,10492976.27
ma,438150846.98
mc,26202385.0
md,225754888.51
me,246026468.0
mg,45199117.980000004
mh,2849865.0
mk,501409201.22
ml,56749986.4
mm,643000.0
mo,2025981.0
mr,2999120.0
mt,829226709.1800001
mu,7432401.0
mv,6799198.58
mw,56349728.96
mx,294000259.58
my,120729534.97
mz,77945753.11
na,26425651.0
nc,10638508.75
ne,33346844.83
ng,114921463.7
ni,11386588.0
nl,42693885559.95
no,10075353268.49
np,14396569.0
nz,204984161.72
om,9928957.28
pa,16693809.57
pe,100015609.48
pf,8998780.0
pg,8898336.0
ph,101113372.81
pk,21899461.0
pl,9215834418.2
ps,43709334.99
pt,9635605261.14
qa,3966181.1399999997
ro,5157170400.82
rs,1164502289.43
ru,2546494726.61
rw,31130683.66
sa,23928581.619999997
sc,3978054.0
sd,38541311.0
se,23507659924.4
sg,138136020.48
si,3587660204.51
sk,1892258810.32
sm,1977724.0
sn,156442509.26
so,1400000.0
sr,6882068.0
sv,5999213.0
sy,15045697.0
sz,2230675.0
tg,8496231.85
th,139797455.17000002
tj,9281622.32
tm,5416079.16
tn,239703804.07
tr,4315113308.31
tt,7972116.0
tw,226327540.36
tz,176946591.65
ua,766844001.03
ug,123110683.93
us,3394536024.67
uy,70305589.36
uz,28024255.16
ve,17610720.0
vg,967185.0
vn,123353874.61
vu,2999718.0
ws,2999718.0
xk,35816071.61
ye,3966181.1399999997
za,760756184.48
zm,23744796.33
zw,3686714.4699999997
