source,target,weight
de,fr,16493
de,gb,16431
fr,gb,14190
de,it,12023
fr,fr,11802
gb,it,11500
de,de,11446
fr,it,10889
gb,gb,9915
de,es,8342
es,gb,7949
it,it,7887
es,fr,7863
es,it,7736
de,nl,7514
gb,nl,6994
fr,nl,5764
be,fr,4645
be,de,4609
de,se,4595
gb,se,4524
be,gb,4511
es,es,4355
it,nl,4118
gb,gr,3796
de,gr,3733
gr,it,3586
fr,se,3515
at,de,3512
dk,gb,3313
be,it,3147
ch,de,3068
de,fi,3064
it,se,3027
fr,gr,2996
es,nl,2924
fi,gb,2900
de,dk,2863
gb,no,2759
nl,nl,2657
ch,fr,2555
es,gr,2529
ch,gb,2285
be,nl,2276
gb,pt,2226
de,pt,2222
be,es,2163
at,gb,2157
dk,fr,2145
nl,se,2144
fr,pt,2122
es,se,2082
it,pt,2015
dk,it,2010
fr,no,1947
ch,it,1943
fi,it,1930
fi,fr,1899
de,no,1897
de,pl,1880
gb,ie,1845
at,fr,1797
at,it,1792
es,pt,1762
gb,pl,1710
gr,gr,1681
dk,nl,1613
cz,de,1509
gr,nl,1485
dk,es,1482
es,fi,1444
fi,se,1388
cz,gb,1337
de,ie,1294
fr,pl,1293
se,se,1282
it,no,1266
fi,nl,1265
at,es,1239
it,pl,1218
ch,es,1195
de,hu,1182
at,nl,1177
dk,se,1131
be,se,1127
be,be,1122
nl,no,1098
be,gr,1096
fr,ie,1053
nl,pt,1034
ch,nl,1011
cz,fr,1003
fi,gr,953
gb,hu,943
es,no,923
gr,se,922
cz,it,918
ie,it,907
gr,pt,893
fi,fi,889
no,se,878
at,at,840
nl,pl,818
be,dk,811
es,pl,810
es,ie,797
no,no,786
dk,fi,774
dk,dk,773
fr,hu,772
at,se,772
hu,it,741
at,be,740
dk,gr,740
de,sk,724
dk,no,723
at,gr,714
be,fi,709
gb,sk,704
ch,se,702
cz,es,689
be,ch,686
cz,nl,686
gr,no,668
gb,ro,666
ie,nl,658
fi,no,654
be,pt,651
de,si,627
gb,si,626
ch,gr,593
pt,pt,577
es,hu,567
pl,se,545
pt,se,540
it,ro,540
be,no,540
be,pl,540
de,ro,539
at,ch,534
bg,de,531
at,fi,527
at,dk,522
cz,se,518
hu,nl,516
fr,ro,515
it,si,514
bg,gb,505
ch,ch,497
dk,pl,481
dk,pt,459
gr,pl,454
ch,dk,440
no,pt,434
fi,pl,424
cz,fi,420
it,sk,415
ch,fi,414
gr,ie,413
at,hu,411
be,ie,408
fr,si,407
bg,it,404
fi,pt,404
ie,se,394
bg,es,385
cz,gr,381
dk,ie,377
at,pt,372
be,cz,372
at,pl,371
fr,sk,362
pl,pl,359
bg,fr,357
be,hu,351
cz,cz,347
nl,sk,343
at,cz,340
no,pl,332
