country,count_proj
de,12513
es,12440
it,10705
fr,10372
nl,6963
be,6123
gb,5175
gr,4993
at,3236
pt,3120
se,3117
dk,2779
fi,2718
ch,2660
no,2509
ie,2070
lu,521
is,183
li,4
