country,count_proj
fr,5140
gb,5026
de,4957
it,3324
nl,2275
es,2237
be,1498
gr,1403
dk,1097
pt,971
ie,736
se,689
ch,424
no,355
fi,319
at,222
lu,31
is,25
pl,8
hu,6
ro,3
cz,2
cy,2
si,2
ee,1
bg,1
sk,1
