country,count_proj
de,20839
es,18925
gb,17440
it,17249
fr,17185
nl,11147
be,8453
gr,5525
se,5219
ch,5166
at,5107
dk,3999
pt,3989
fi,3523
no,3253
ie,2970
lu,631
