,Network,R squared,Intercept,Coefficient 1 (pop1),Coefficient 2 (pop2),Coefficient 3 (gdp_per_capita_1),Coefficient 4 (gdp_per_capita_2),Coefficient 5 (distance),Normalization factor,# points per fit
0,1.0,0.5563932626036487,1.6167769750653567,0.6582060393376442,0.7543034164392513,-0.8938596703234505,-0.9623463224195588,-0.8938596703234505,-1.6167769750653567,95.0
1,2.0,0.7496457056621662,-4.904695688869948,0.8183937147649606,0.8447520761839856,-0.32034098962860036,-0.4151742857128623,-0.32034098962860036,4.904695688869948,142.0
2,3.0,0.7310651185267254,-21.618414677247497,0.8487432894964847,0.8336432540212524,1.3007654391795043,1.4526820559535896,1.3007654391795043,21.618414677247497,218.0
3,4.0,0.7454028544929278,-14.179320198372288,0.7243672318465079,0.8147888707875157,0.6503539721981703,0.9650019749672837,0.6503539721981703,14.179320198372288,399.0
4,5.0,0.8224071947160702,-12.578757986771338,0.7517353159559205,0.8264483702736423,0.4316185431073196,0.584542531422432,0.4316185431073196,12.578757986771338,476.0
5,6.0,0.8638099954676617,-11.365027220010914,0.6986002504173753,0.8345939902578421,0.36086592658215894,0.45996001341330306,0.36086592658215894,11.365027220010914,475.0
6,7.0,0.8636369643921624,-12.318925187212766,0.7213858488221575,0.8040246640312274,0.4301455719700209,0.5269090720980723,0.4301455719700209,12.318925187212766,481.0
7,8.0,0.8206738399378324,-11.029020062597198,0.6847725403124796,0.819446191466782,0.3247424344568917,0.44981886855080805,0.3247424344568917,11.029020062597198,476.0
8,9.0,0.7954708517194405,-8.988616234285137,0.602859446614233,0.6442311200565234,0.32345351131698363,0.4623213198183902,0.32345351131698363,8.988616234285137,465.0
