country,degree
fr,34721
de,34712
gb,33988
it,22578
nl,16582
es,16383
be,11212
gr,10232
dk,8311
pt,7616
se,6399
ie,5856
ch,4128
no,3269
fi,3102
at,2092
is,268
lu,241
pl,215
hu,185
ro,84
sk,55
si,29
cz,19
cy,14
ee,4
bg,3
