country,degree
de,21245
fr,21182
gb,19217
it,13322
nl,11262
es,9873
be,8528
dk,6046
gr,4924
pt,4374
ie,3658
se,3073
ch,1954
fi,1560
no,1046
at,444
lu,262
is,17
li,9
