country,degree
de,307103
es,270673
it,260198
fr,257559
gb,205846
nl,165078
be,138022
gr,93190
se,88439
at,85951
ch,76777
pt,66610
fi,65172
dk,54089
no,53867
pl,51268
ie,43248
cz,38178
ro,29152
hu,29018
si,27284
bg,17361
hr,16300
ee,15916
cy,14978
sk,13564
lt,12061
lv,11850
lu,11349
is,5452
mt,3956
li,61
