country,degree
de,208275
gb,169443
fr,158721
it,147863
es,135154
nl,101576
be,74965
se,62600
ch,50847
gr,47007
at,45270
fi,40634
dk,35213
no,31514
pt,30511
pl,29197
ie,22487
cz,20616
hu,20558
ro,17026
si,13088
bg,10077
ee,6988
sk,6868
cy,6426
hr,5747
lt,5449
lv,4600
is,3855
lu,3420
mt,2978
li,113
