,country,population,gdp,# projects,gdp per capita,# projects per capita
0,de,83280000.0,4259934911821.64,12513,51151.95619382373,0.0001502521613832853
1,es,48347910.0,1427380681294.55,12440,29523.110332888227,0.00025730171169756875
2,it,58993470.0,2114355756913.92,10705,35840.505006976535,0.00018146076167413106
3,fr,68287490.0,2957879759263.52,10372,43315.10441024439,0.00015188726368475398
4,nl,17877120.0,1011798853062.0,6963,56597.41910676887,0.0003894922672108259
5,be,11787420.0,594351961634.487,6123,50422.565890965714,0.0005194520938424184
6,gb,68350000.0,3122480345924.54,5175,45683.691966708706,7.571324067300659e-05
7,gr,10405590.0,214873879833.648,4993,20649.85068925914,0.0004798382407917283
8,at,9131760.0,480368403893.364,3236,52604.142453739914,0.0003543676136911176
9,pt,10578170.0,253982847571.015,3120,24010.093198635965,0.0002949470466063601
10,se,10536630.0,636856236396.239,3117,60442.11824807733,0.00029582513574074443
11,dk,5946950.0,398303272764.46,2779,66976.05878046057,0.0004672983630264253
12,fi,5583910.0,296387625263.561,2718,53078.8686177895,0.0004867556962773397
13,ch,8888090.0,800640155387.26,2660,90080.11343126139,0.0002992768975111638
14,no,5519590.0,490293364377.183,2509,88827.8593839729,0.0004545627483200745
15,ie,5307600.0,504182603275.542,2070,94992.57729963487,0.0003900067827266561
16,pl,36687350.0,679441900610.663,1974,18519.78680964046,5.38060121540531e-05
17,cz,10864040.0,281791218507.1,1566,25937.9768950685,0.00014414527192462473
18,ro,19059480.0,285404683024.537,1214,14974.421286652992,6.369533691370384e-05
19,si,2120460.0,61748586534.8672,1201,29120.373190188544,0.0005663865387698896
20,cy,1344980.0,28408064462.1856,987,21121.551593470238,0.0007338399084001249
21,hu,9592190.0,182275444031.79,887,19002.484733078683,9.247106239555306e-05
22,ee,1370290.0,37191166151.98,726,27141.09141275205,0.0005298148567091638
23,bg,6446600.0,84061395658.221,682,13039.64813362408,0.00010579220053981944
24,hr,3859690.0,68843674641.2112,638,17836.581342338686,0.00016529824934126834
25,lt,2871590.0,66414994991.7935,594,23128.299998186892,0.0002068540425339272
26,lu,666430.0,85506243833.7816,521,128304.91399514068,0.0007817775310235133
27,sk,5426740.0,118656591909.266,495,21865.169864276897,9.121498358130295e-05
28,lv,1877440.0,39725383601.2125,391,21159.335904855816,0.00020826231464121358
29,mt,552750.0,17743376199.3523,234,32100.183083405336,0.00042333785617367707
30,is,393350.0,25552639899.067,183,64961.58611686031,0.0004652345239608491
31,li,39850.0,7710000000.0,4,193475.53324968633,0.00010037641154328733
