,country,population,gdp,# projects,gdp per capita,# projects per capita
0,fr,55108104.0,1018847043277.17,1676,18488.15272754022,3.0412949790470017e-05
1,gb,56643040.0,910171030657.68,1526,16068.541354024785,2.6940644428688854e-05
2,de,77638808.0,1401233225303.49,1269,18048.103279786184,1.6344918639142425e-05
3,it,56636468.0,891608957155.608,848,15742.665258638799,1.4972685090461503e-05
4,nl,14515705.0,261910508417.884,571,18043.250976641095,3.9336704624405086e-05
5,be,9880540.0,162299103675.261,547,16426.13700012965,5.536134664704561e-05
6,es,38471924.0,376160409941.437,334,9777.530490584173,8.681655744589224e-06
7,dk,5119453.0,115552417468.553,324,22571.24295672858,6.328801143403407e-05
8,ie,3505781.0,37772896220.7559,258,10774.459734009597,7.359273154826272e-05
9,gr,9840144.0,76261277924.5736,228,7750.016455508537,2.317039262840056e-05
10,pt,9996891.0,56347250696.3788,161,5636.477450477233,1.6105007046690816e-05
11,se,8389918.0,206988363594.82,27,24671.083030229856,3.218148258421596e-06
12,fi,4902179.0,109058990760.483,25,22247.043765738257,5.0997729785060885e-06
13,ch,6469830.0,215540625298.982,12,33314.72779021736,1.85476279902254e-06
14,no,4152640.0,101900521458.037,12,24538.732338473117,2.8897279802727902e-06
15,lu,366471.0,9418167855.18376,10,25699.626587598363,2.728728876227587e-05
16,dz,22132910.0,59089400190.4837,7,2669.752878879628,3.162711094022431e-07
17,us,235146176.0,5236438000000.0,6,22268.86309220695,2.5516043263233844e-08
18,br,136783184.0,307881930752.268,6,2250.875595586867,4.386504118810394e-08
19,at,7562114.0,133339397080.129,3,17632.555801212333,3.9671446370684174e-07
20,in,780242112.0,296589677725.074,1,380.1251857129624,1.2816534568182857e-09
21,ca,25843920.0,509379677196.071,1,19709.84576627969,3.8693820442100116e-08
22,qa,365881.0,6038187032.96703,1,16503.144555106795,2.7331290774869424e-06
