country,degree
es,171903
de,170675
it,154475
fr,147581
nl,101215
be,96192
gr,80397
gb,74403
at,56338
pt,50633
se,50272
fi,47624
ch,47140
dk,39776
no,38065
pl,35909
ie,28633
cz,28394
ro,23743
si,23514
hu,18170
cy,16580
ee,13224
bg,13007
hr,12899
lt,11465
sk,10855
lu,9386
lv,9076
mt,3850
is,3524
li,56
