Population 1,Population 2,GDP capita 1,GDP capita 2,Distance,collaboration,source,target,real collaborations,estimated collaborations
7.910224541894177,7.7976832670711635,4.621211942504339,4.5987597562830995,2.974257674185951,4.464876871458186,de,gb,29166.000000000007,19652.08944479794
7.910224541894177,7.795494665444658,4.621211942504339,4.626961859043247,3.142652960617344,4.4588945733474095,de,fr,28766.99999999999,20858.330373658202
7.910224541894177,7.776864209903014,4.621211942504339,4.55275736101534,2.97424014345038,4.387799009462368,de,it,24423.00000000002,17882.543402847772
7.910224541894177,7.668132125103672,4.621211942504339,4.4848005154400035,3.206704332185385,4.323561463462867,de,es,21065.00000000002,14022.590970229385
7.795494665444658,7.7976832670711635,4.626961859043247,4.5987597562830995,3.105039958943774,4.318167720128966,fr,gb,20805.0,16712.277213508212
7.795494665444658,7.776864209903014,4.626961859043247,4.55275736101534,3.0903048711638883,4.286456469746983,fr,it,19340.000000000004,15168.409838458361
7.7976832670711635,7.776864209903014,4.5987597562830995,4.55275736101534,3.219991690762254,4.2689989585426735,gb,it,18578.0,15143.382823707752
7.910224541894177,7.220555782256729,4.621211942504339,4.707522867498735,2.5496720667931445,4.239049093140191,de,nl,17339.99999999999,7153.07973653889
7.668132125103672,7.776864209903014,4.4848005154400035,4.55275736101534,3.1269103942835326,4.235528446907549,es,it,17199.999999999993,10732.193456843337
7.668132125103672,7.7976832670711635,4.4848005154400035,4.5987597562830995,3.1787688187309704,4.226342087163631,es,gb,16840.000000000004,11901.436483950394
7.668132125103672,7.795494665444658,4.4848005154400035,4.626961859043247,2.3848834627392086,4.214499453710881,es,fr,16387.000000000004,10678.098703583179
7.7976832670711635,7.220555782256729,4.5987597562830995,4.707522867498735,2.769366635059726,4.150049945162385,gb,nl,14127.0,6029.906840847308
7.795494665444658,7.220555782256729,4.626961859043247,4.707522867498735,3.1010753554920303,4.06774020292624,fr,nl,11687.999999999989,6546.640698390963
7.036546978420406,7.910224541894177,4.6459779465998405,4.621211942504339,2.6074890751700948,4.053999860693065,be,de,11324.0,5601.505431210739
7.910224541894177,6.972282559750049,4.621211942504339,4.723034963422517,3.131697702612876,4.007363654312278,de,se,10170.999999999989,5095.510302982023
7.776864209903014,7.220555782256729,4.55275736101534,4.707522867498735,3.0688619371878407,3.990116766067904,it,nl,9774.999999999996,5864.311904245941
7.036546978420406,7.7976832670711635,4.6459779465998405,4.5987597562830995,2.7946962489302845,3.9754777631658746,be,gb,9451.0,4572.837080028562
6.893342462763831,7.910224541894177,4.883976337304494,4.621211942504339,2.7061069285781145,3.9646367037885017,ch,de,9218.000000000004,5686.589310449028
7.036546978420406,7.795494665444658,4.6459779465998405,4.626961859043247,3.031022177441387,3.947090464219622,be,fr,8853.000000000004,4911.432496955746
7.668132125103672,7.220555782256729,4.4848005154400035,4.707522867498735,3.176137975377897,3.9328287669008466,es,nl,8567.0,4663.193172385764
6.9223532165844235,7.910224541894177,4.671237533239733,4.621211942504339,2.6796964182191734,3.9255183581774302,at,de,8424.000000000002,4811.364606138569
7.7976832670711635,6.972282559750049,4.5987597562830995,4.723034963422517,3.1756873145866567,3.903524064471262,gb,se,8007.999999999997,4165.626455899976
