,source,target,weight,population_1,gdp_1,population_2,gdp_2,distance
0,de,gb,29166,81325088.0,3399667820000.09,62760048.0,2491397494467.95,942.4486012041631
1,de,fr,28767,81325088.0,3399667820000.09,62444568.0,2645187882116.73,1388.8423808022078
2,de,it,24423,81325088.0,3399667820000.09,59822452.0,2136099955236.72,942.4105590819394
3,de,es,21065,81325088.0,3399667820000.09,46572776.0,1422108199783.37,1609.5494803163838
4,fr,gb,20805,62444568.0,2645187882116.73,62760048.0,2491397494467.95,1273.6202599845476
5,fr,it,19340,62444568.0,2645187882116.73,59822452.0,2136099955236.72,1231.1327126024544
6,gb,it,18578,62760048.0,2491397494467.95,59822452.0,2136099955236.72,1659.5551553181333
7,de,nl,17340,81325088.0,3399667820000.09,16617121.0,847380859016.688,354.5455728579468
8,es,it,17200,46572776.0,1422108199783.37,59822452.0,2136099955236.72,1339.4003074317754
9,es,gb,16840,46572776.0,1422108199783.37,62760048.0,2491397494467.95,1509.2765304449847
10,es,fr,16387,46572776.0,1422108199783.37,62444568.0,2645187882116.73,242.59590332635463
11,gb,nl,14127,62760048.0,2491397494467.95,16617121.0,847380859016.688,587.9855253968492
12,fr,nl,11688,62444568.0,2645187882116.73,16617121.0,847380859016.688,1262.0464963514944
13,be,de,11324,10877948.0,481420882905.012,81325088.0,3399667820000.09,405.0317562925552
14,de,se,10171,81325088.0,3399667820000.09,9381722.0,495812558843.31,1354.2464400363774
15,it,nl,9775,59822452.0,2136099955236.72,16617121.0,847380859016.688,1171.8227822573015
16,be,gb,9451,10877948.0,481420882905.012,62760048.0,2491397494467.95,623.29873994949
17,ch,de,9218,7822444.0,598851028906.58,81325088.0,3399667820000.09,508.2845729931309
18,be,fr,8853,10877948.0,481420882905.012,62444568.0,2645187882116.73,1074.0442574898536
19,es,nl,8567,46572776.0,1422108199783.37,16617121.0,847380859016.688,1500.1613611392168
20,at,de,8424,8362829.0,392275107258.677,81325088.0,3399667820000.09,478.2956358455796
21,gb,se,8008,62760048.0,2491397494467.95,9381722.0,495812558843.31,1498.605473867267
22,be,it,7563,10877948.0,481420882905.012,59822452.0,2136099955236.72,1050.3259523417403
23,fr,se,7134,62444568.0,2645187882116.73,9381722.0,495812558843.31,2596.6314187525427
24,be,es,6960,10877948.0,481420882905.012,46572776.0,1422108199783.37,1310.3594821587585
25,ch,gb,6689,7822444.0,598851028906.58,62760048.0,2491397494467.95,1110.0249104069546
26,be,nl,6258,10877948.0,481420882905.012,16617121.0,847380859016.688,194.2491501478652
27,de,gr,6233,81325088.0,3399667820000.09,11033784.0,297124961971.508,1655.182247503806
28,de,fi,6178,81325088.0,3399667820000.09,5363279.0,249424310816.673,1753.2457080800953
29,ch,fr,5977,7822444.0,598851028906.58,62444568.0,2645187882116.73,995.1778337097365
30,it,se,5802,59822452.0,2136099955236.72,9381722.0,495812558843.31,2251.156661879422
31,gr,it,5654,11033784.0,297124961971.508,59822452.0,2136099955236.72,979.7748706125544
32,ch,it,5459,7822444.0,598851028906.58,59822452.0,2136099955236.72,550.2897278210395
33,gb,gr,5337,62760048.0,2491397494467.95,11033784.0,297124961971.508,2539.9738030826825
34,de,dk,5332,81325088.0,3399667820000.09,5550850.0,321995279401.502,549.3944741316133
35,es,se,5281,46572776.0,1422108199783.37,9381722.0,495812558843.31,2837.238370246114
36,fr,gr,5044,62444568.0,2645187882116.73,11033784.0,297124961971.508,2185.219582997988
37,es,gr,4885,46572776.0,1422108199783.37,11033784.0,297124961971.508,2254.706342610381
38,dk,gb,4770,5550850.0,321995279401.502,62760048.0,2491397494467.95,847.8216336734824
39,at,gb,4732,8362829.0,392275107258.677,62760048.0,2491397494467.95,1379.7666409854282
40,at,fr,4599,8362829.0,392275107258.677,62444568.0,2645187882116.73,1449.4838192116947
41,nl,se,4413,16617121.0,847380859016.688,9381722.0,495812558843.31,1341.503972389388
42,fi,gb,4407,5363279.0,249424310816.673,62760048.0,2491397494467.95,2007.7425784892791
43,at,it,4397,8362829.0,392275107258.677,59822452.0,2136099955236.72,561.373522834273
44,ch,es,4173,7822444.0,598851028906.58,46572776.0,1422108199783.37,1185.8128841009989
45,fi,fr,4167,5363279.0,249424310816.673,62444568.0,2645187882116.73,3065.3718042421074
46,gb,no,4128,62760048.0,2491397494467.95,4889747.0,431052143940.438,1940.4996219682073
47,de,no,4118,81325088.0,3399667820000.09,4889747.0,431052143940.438,2026.7475422489874
48,es,fi,4074,46572776.0,1422108199783.37,5363279.0,249424310816.673,3303.053846396287
49,de,pl,4004,81325088.0,3399667820000.09,38597356.0,475696613935.595,634.2744654511525
50,es,pt,3890,46572776.0,1422108199783.37,10588401.0,238113003233.289,387.25834196977047
51,at,es,3878,8362829.0,392275107258.677,46572776.0,1422108199783.37,1627.5051615493064
52,de,pt,3809,81325088.0,3399667820000.09,10588401.0,238113003233.289,1913.165833841426
53,fi,it,3696,5363279.0,249424310816.673,59822452.0,2136099955236.72,2579.966682824664
54,ch,nl,3383,7822444.0,598851028906.58,16617121.0,847380859016.688,640.7531203760018
55,gb,pl,3341,62760048.0,2491397494467.95,38597356.0,475696613935.595,1493.6348731350338
56,it,pt,3273,59822452.0,2136099955236.72,10588401.0,238113003233.289,1724.8599773534247
57,gb,pt,3273,62760048.0,2491397494467.95,10588401.0,238113003233.289,1635.3833045770514
58,cz,de,3203,10464750.0,209069940963.177,81325088.0,3399667820000.09,388.8128793082555
59,at,nl,3170,8362829.0,392275107258.677,16617121.0,847380859016.688,804.785032679177
60,dk,fr,3153,5550850.0,321995279401.502,62444568.0,2645187882116.73,1768.5804081542167
61,fr,pt,3150,62444568.0,2645187882116.73,10588401.0,238113003233.289,536.6181849537082
62,dk,es,3095,5550850.0,321995279401.502,46572776.0,1422108199783.37,2006.65322255761
63,fr,no,3065,62444568.0,2645187882116.73,4889747.0,431052143940.438,3157.008644085638
64,gb,ie,3049,62760048.0,2491397494467.95,4524581.0,221913560882.372,351.37931512159327
65,be,se,3028,10877948.0,481420882905.012,9381722.0,495812558843.31,1535.0725257356048
66,it,pl,2994,59822452.0,2136099955236.72,38597356.0,475696613935.595,1175.0432561355217
67,dk,it,2975,5550850.0,321995279401.502,59822452.0,2136099955236.72,1489.4857087600647
68,fr,pl,2965,62444568.0,2645187882116.73,38597356.0,475696613935.595,1981.377644169354
69,de,ie,2949,81325088.0,3399667820000.09,4524581.0,221913560882.372,1269.1892614643907
70,fi,nl,2807,5363279.0,249424310816.673,16617121.0,847380859016.688,1803.3265337969435
71,de,hu,2761,81325088.0,3399667820000.09,9986832.0,132175349953.713,792.1106376219155
72,es,no,2750,46572776.0,1422108199783.37,4889747.0,431052143940.438,3399.5412205569487
73,it,no,2746,59822452.0,2136099955236.72,4889747.0,431052143940.438,2946.1811942382983
74,dk,nl,2704,5550850.0,321995279401.502,16617121.0,847380859016.688,506.5689307796173
75,es,pl,2624,46572776.0,1422108199783.37,38597356.0,475696613935.595,2185.7038247340233
76,gr,nl,2527,11033784.0,297124961971.508,16617121.0,847380859016.688,1979.8389490502284
77,be,ch,2483,10877948.0,481420882905.012,7822444.0,598851028906.58,501.92555004904534
78,nl,no,2353,16617121.0,847380859016.688,4889747.0,431052143940.438,1949.4010891833414
79,es,ie,2250,46572776.0,1422108199783.37,4524581.0,221913560882.372,1464.7001895507544
80,fr,ie,2176,62444568.0,2645187882116.73,4524581.0,221913560882.372,1251.53956437681
81,at,be,2175,8362829.0,392275107258.677,10877948.0,481420882905.012,770.1652991039201
82,cz,fr,2148,10464750.0,209069940963.177,62444568.0,2645187882116.73,1619.4205202087417
83,fi,se,2147,5363279.0,249424310816.673,9381722.0,495812558843.31,511.63149110280153
84,gb,hu,2124,62760048.0,2491397494467.95,9986832.0,132175349953.713,1732.4109962088514
85,cz,gb,2104,10464750.0,209069940963.177,62760048.0,2491397494467.95,1330.7825395129942
86,ie,it,2038,4524581.0,221913560882.372,59822452.0,2136099955236.72,1888.592138258894
87,de,ro,1998,81325088.0,3399667820000.09,20335212.0,170029359010.667,1228.739634262319
88,fr,hu,1994,62444568.0,2645187882116.73,9986832.0,132175349953.713,1828.2566887188937
89,cz,it,1980,10464750.0,209069940963.177,59822452.0,2136099955236.72,818.4703085584517
90,ch,se,1974,7822444.0,598851028906.58,9381722.0,495812558843.31,1860.987124765351
91,be,gr,1947,10877948.0,481420882905.012,11033784.0,297124961971.508,1917.4654700249998
