,source,target,weight,population_1,gdp_1,population_2,gdp_2,distance
0,de,fr,21892,81266672.0,2814353869359.08,60108436.0,2119633181634.37,1388.8423808022078
1,de,gb,21304,81266672.0,2814353869359.08,59995852.0,2423047347028.45,942.4486012041631
2,de,it,17937,81266672.0,2814353869359.08,57860664.0,1806542968545.56,942.4105590819394
3,fr,gb,16646,60108436.0,2119633181634.37,59995852.0,2423047347028.45,1273.6202599845476
4,fr,it,13866,60108436.0,2119633181634.37,57860664.0,1806542968545.56,1231.1327126024544
5,gb,it,13263,59995852.0,2423047347028.45,57860664.0,1806542968545.56,1659.5551553181333
6,de,es,12371,81266672.0,2814353869359.08,42959672.0,1069055675273.75,1609.5494803163838
7,de,nl,10665,81266672.0,2814353869359.08,16196036.0,658380081545.175,354.5455728579468
8,es,gb,9913,42959672.0,1069055675273.75,59995852.0,2423047347028.45,1509.2765304449847
9,es,fr,9908,42959672.0,1069055675273.75,60108436.0,2119633181634.37,242.59590332635463
10,es,it,9290,42959672.0,1069055675273.75,57860664.0,1806542968545.56,1339.4003074317754
11,gb,nl,8969,59995852.0,2423047347028.45,16196036.0,658380081545.175,587.9855253968492
12,be,de,7811,10456164.0,369214712443.206,81266672.0,2814353869359.08,405.0317562925552
13,de,se,7716,81266672.0,2814353869359.08,9004263.0,385118743610.143,1354.2464400363774
14,fr,nl,7314,60108436.0,2119633181634.37,16196036.0,658380081545.175,1262.0464963514944
15,be,fr,6857,10456164.0,369214712443.206,60108436.0,2119633181634.37,1074.0442574898536
16,be,gb,6160,10456164.0,369214712443.206,59995852.0,2423047347028.45,623.29873994949
17,it,nl,6001,57860664.0,1806542968545.56,16196036.0,658380081545.175,1171.8227822573015
18,ch,de,5887,7381153.0,403914244451.966,81266672.0,2814353869359.08,508.2845729931309
19,at,de,5858,8171215.0,301457562038.541,81266672.0,2814353869359.08,478.2956358455796
20,gb,se,5831,59995852.0,2423047347028.45,9004263.0,385118743610.143,1498.605473867267
21,de,gr,5573,81266672.0,2814353869359.08,11115089.0,240963562236.127,1655.182247503806
22,fr,se,5292,60108436.0,2119633181634.37,9004263.0,385118743610.143,2596.6314187525427
23,be,it,5245,10456164.0,369214712443.206,57860664.0,1806542968545.56,1050.3259523417403
24,es,nl,4752,42959672.0,1069055675273.75,16196036.0,658380081545.175,1500.1613611392168
