,source,target,weight,population_1,gdp_1,population_2,gdp_2,distance
0,de,fr,4587,78916440.0,1398967436804.33,56169944.0,1025211803413.53,1388.8423808022078
1,de,gb,4052,78916440.0,1398967436804.33,57076096.0,926926143222.19,942.4486012041631
2,fr,gb,3971,56169944.0,1025211803413.53,57076096.0,926926143222.19,1273.6202599845476
3,fr,it,2807,56169944.0,1025211803413.53,56711524.0,928661332204.347,1231.1327126024544
4,de,it,2527,78916440.0,1398967436804.33,56711524.0,928661332204.347,942.4105590819394
5,de,nl,2278,78916440.0,1398967436804.33,14850230.0,258336705808.999,354.5455728579468
6,gb,it,2101,57076096.0,926926143222.19,56711524.0,928661332204.347,1659.5551553181333
7,gb,nl,1998,57076096.0,926926143222.19,14850230.0,258336705808.999,587.9855253968492
8,es,fr,1993,38847320.0,414757056921.996,56169944.0,1025211803413.53,242.59590332635463
9,fr,nl,1869,56169944.0,1025211803413.53,14850230.0,258336705808.999,1262.0464963514944
10,be,fr,1693,9937168.0,164221056511.057,56169944.0,1025211803413.53,1074.0442574898536
11,de,es,1643,78916440.0,1398967436804.33,38847320.0,414757056921.996,1609.5494803163838
12,be,de,1579,9937168.0,164221056511.057,78916440.0,1398967436804.33,405.0317562925552
13,es,gb,1470,38847320.0,414757056921.996,57076096.0,926926143222.19,1509.2765304449847
14,es,it,1261,38847320.0,414757056921.996,56711524.0,928661332204.347,1339.4003074317754
15,be,gb,1251,9937168.0,164221056511.057,57076096.0,926926143222.19,623.29873994949
16,de,dk,1137,78916440.0,1398967436804.33,5133937.0,112409606609.965,549.3944741316133
17,it,nl,1074,56711524.0,928661332204.347,14850230.0,258336705808.999,1171.8227822573015
18,dk,gb,970,5133937.0,112409606609.965,57076096.0,926926143222.19,847.8216336734824
19,dk,fr,865,5133937.0,112409606609.965,56169944.0,1025211803413.53,1768.5804081542167
20,fr,gr,855,56169944.0,1025211803413.53,10211975.0,79169043222.8284,2185.219582997988
21,be,nl,838,9937168.0,164221056511.057,14850230.0,258336705808.999,194.2491501478652
22,gb,gr,826,57076096.0,926926143222.19,10211975.0,79169043222.8284,2539.9738030826825
23,be,it,806,9937168.0,164221056511.057,56711524.0,928661332204.347,1050.3259523417403
24,es,nl,795,38847320.0,414757056921.996,14850230.0,258336705808.999,1500.1613611392168
25,de,gr,776,78916440.0,1398967436804.33,10211975.0,79169043222.8284,1655.182247503806
26,fr,pt,771,56169944.0,1025211803413.53,10020318.0,60594092182.3275,536.6181849537082
27,gb,ie,665,57076096.0,926926143222.19,3483316.0,39238392677.7542,351.37931512159327
28,dk,nl,640,5133937.0,112409606609.965,14850230.0,258336705808.999,506.5689307796173
29,gb,pt,634,57076096.0,926926143222.19,10020318.0,60594092182.3275,1635.3833045770514
30,de,pt,624,78916440.0,1398967436804.33,10020318.0,60594092182.3275,1913.165833841426
31,be,es,600,9937168.0,164221056511.057,38847320.0,414757056921.996,1310.3594821587585
32,gr,it,590,10211975.0,79169043222.8284,56711524.0,928661332204.347,979.7748706125544
33,de,ie,567,78916440.0,1398967436804.33,3483316.0,39238392677.7542,1269.1892614643907
34,gb,se,556,57076096.0,926926143222.19,8504982.0,217949132622.507,1498.605473867267
35,fr,ie,545,56169944.0,1025211803413.53,3483316.0,39238392677.7542,1251.53956437681
36,dk,it,531,5133937.0,112409606609.965,56711524.0,928661332204.347,1489.4857087600647
37,de,se,529,78916440.0,1398967436804.33,8504982.0,217949132622.507,1354.2464400363774
38,it,pt,483,56711524.0,928661332204.347,10020318.0,60594092182.3275,1724.8599773534247
39,es,pt,464,38847320.0,414757056921.996,10020318.0,60594092182.3275,387.25834196977047
40,be,dk,462,9937168.0,164221056511.057,5133937.0,112409606609.965,697.4074089617403
41,fr,se,443,56169944.0,1025211803413.53,8504982.0,217949132622.507,2596.6314187525427
42,dk,es,428,5133937.0,112409606609.965,38847320.0,414757056921.996,2006.65322255761
43,es,gr,394,38847320.0,414757056921.996,10211975.0,79169043222.8284,2254.706342610381
44,ie,it,367,3483316.0,39238392677.7542,56711524.0,928661332204.347,1888.592138258894
45,ch,de,352,6646209.0,208102666687.042,78916440.0,1398967436804.33,508.2845729931309
46,ie,nl,340,3483316.0,39238392677.7542,14850230.0,258336705808.999,917.1765274618546
47,gr,nl,337,10211975.0,79169043222.8284,14850230.0,258336705808.999,1979.8389490502284
48,nl,pt,335,14850230.0,258336705808.999,10020318.0,60594092182.3275,1750.9539813426293
49,ch,fr,314,6646209.0,208102666687.042,56169944.0,1025211803413.53,995.1778337097365
50,be,gr,310,9937168.0,164221056511.057,10211975.0,79169043222.8284,1917.4654700249998
51,nl,se,283,14850230.0,258336705808.999,8504982.0,217949132622.507,1341.503972389388
52,es,ie,265,38847320.0,414757056921.996,3483316.0,39238392677.7542,1464.7001895507544
53,it,se,254,56711524.0,928661332204.347,8504982.0,217949132622.507,2251.156661879422
54,be,pt,253,9937168.0,164221056511.057,10020318.0,60594092182.3275,1572.5485048873797
55,de,fi,245,78916440.0,1398967436804.33,4964482.0,119012054870.445,1753.2457080800953
56,ch,gb,230,6646209.0,208102666687.042,57076096.0,926926143222.19,1110.0249104069546
57,fi,gb,230,4964482.0,119012054870.445,57076096.0,926926143222.19,2007.7425784892791
58,be,ie,229,9937168.0,164221056511.057,3483316.0,39238392677.7542,909.4383852617077
59,dk,gr,221,5133937.0,112409606609.965,10211975.0,79169043222.8284,2114.5938520145705
60,de,no,213,78916440.0,1398967436804.33,4227072.0,102633934390.615,2026.7475422489874
61,gr,pt,208,10211975.0,79169043222.8284,10020318.0,60594092182.3275,2640.4709204541164
62,dk,pt,201,5133937.0,112409606609.965,10020318.0,60594092182.3275,2252.195071609549
63,ch,it,197,6646209.0,208102666687.042,56711524.0,928661332204.347,550.2897278210395
64,es,se,191,38847320.0,414757056921.996,8504982.0,217949132622.507,2837.238370246114
65,fi,fr,190,4964482.0,119012054870.445,56169944.0,1025211803413.53,3065.3718042421074
66,ch,nl,189,6646209.0,208102666687.042,14850230.0,258336705808.999,640.7531203760018
67,dk,ie,183,5133937.0,112409606609.965,3483316.0,39238392677.7542,1195.2899968882984
68,be,se,177,9937168.0,164221056511.057,8504982.0,217949132622.507,1535.0725257356048
69,gb,no,166,57076096.0,926926143222.19,4227072.0,102633934390.615,1940.4996219682073
70,dk,se,158,5133937.0,112409606609.965,8504982.0,217949132622.507,841.8431608611351
71,fi,it,155,4964482.0,119012054870.445,56711524.0,928661332204.347,2579.966682824664
72,fr,no,148,56169944.0,1025211803413.53,4227072.0,102633934390.615,3157.008644085638
73,fi,nl,141,4964482.0,119012054870.445,14850230.0,258336705808.999,1803.3265337969435
74,ch,es,140,6646209.0,208102666687.042,38847320.0,414757056921.996,1185.8128841009989
75,gr,ie,140,10211975.0,79169043222.8284,3483316.0,39238392677.7542,2812.5080905283576
76,ie,pt,134,3483316.0,39238392677.7542,10020318.0,60594092182.3275,1505.8248248300097
77,es,fi,123,38847320.0,414757056921.996,4964482.0,119012054870.445,3303.053846396287
78,be,ch,122,9937168.0,164221056511.057,6646209.0,208102666687.042,501.92555004904534
79,pt,se,104,10020318.0,60594092182.3275,8504982.0,217949132622.507,3058.789898593258
80,be,fi,98,9937168.0,164221056511.057,4964482.0,119012054870.445,1992.834751443674
81,nl,no,96,14850230.0,258336705808.999,4227072.0,102633934390.615,1949.4010891833414
82,dk,fi,92,5133937.0,112409606609.965,4964482.0,119012054870.445,1296.8086419683777
83,it,no,91,56711524.0,928661332204.347,4227072.0,102633934390.615,2946.1811942382983
84,gr,se,90,10211975.0,79169043222.8284,8504982.0,217949132622.507,2673.4895293811896
85,at,de,89,7619393.0,133105805512.22,78916440.0,1398967436804.33,478.2956358455796
86,ch,dk,87,6646209.0,208102666687.042,5133937.0,112409606609.965,1038.717753881392
87,ie,se,86,3483316.0,39238392677.7542,8504982.0,217949132622.507,1789.3266297829894
88,at,fr,84,7619393.0,133105805512.22,56169944.0,1025211803413.53,1449.4838192116947
89,at,gb,74,7619393.0,133105805512.22,57076096.0,926926143222.19,1379.7666409854282
90,ch,se,68,6646209.0,208102666687.042,8504982.0,217949132622.507,1860.987124765351
91,ch,pt,64,6646209.0,208102666687.042,10020318.0,60594092182.3275,1531.692264794122
92,es,no,62,38847320.0,414757056921.996,4227072.0,102633934390.615,3399.5412205569487
93,ch,gr,62,6646209.0,208102666687.042,10211975.0,79169043222.8284,1464.9158448394967
94,fi,se,60,4964482.0,119012054870.445,8504982.0,217949132622.507,511.63149110280153
95,fi,pt,59,4964482.0,119012054870.445,10020318.0,60594092182.3275,3543.738172908713
