,source,target,weight,population_1,gdp_1,population_2,gdp_2,distance
0,es,it,22497,48347910.0,1381292200000.0,58993470.0,2010974800000.0,1339.4003074317754
1,de,fr,21739,83280000.0,3692367000000.0,68287490.0,2671234800000.0,1388.8423808022078
2,de,es,21310,83280000.0,3692367000000.0,48347910.0,1381292200000.0,1609.5494803163838
3,de,it,18936,83280000.0,3692367000000.0,58993470.0,2010974800000.0,942.4105590819394
4,es,fr,18571,48347910.0,1381292200000.0,68287490.0,2671234800000.0,242.59590332635463
5,fr,it,17363,68287490.0,2671234800000.0,58993470.0,2010974800000.0,1231.1327126024544
6,de,nl,14421,83280000.0,3692367000000.0,17877120.0,917196700000.0,354.5455728579468
7,be,es,11810,11787420.0,527263730000.0,48347910.0,1381292200000.0,1310.3594821587585
8,es,gr,11650,48347910.0,1381292200000.0,10405590.0,219965720000.0,2254.706342610381
9,es,nl,11198,48347910.0,1381292200000.0,17877120.0,917196700000.0,1500.1613611392168
10,be,de,11098,11787420.0,527263730000.0,83280000.0,3692367000000.0,405.0317562925552
11,fr,nl,10655,68287490.0,2671234800000.0,17877120.0,917196700000.0,1262.0464963514944
12,be,fr,10353,11787420.0,527263730000.0,68287490.0,2671234800000.0,1074.0442574898536
13,it,nl,10250,58993470.0,2010974800000.0,17877120.0,917196700000.0,1171.8227822573015
14,be,it,10173,11787420.0,527263730000.0,58993470.0,2010974800000.0,1050.3259523417403
15,gr,it,9741,10405590.0,219965720000.0,58993470.0,2010974800000.0,979.7748706125544
16,de,gb,9473,83280000.0,3692367000000.0,68350000.0,3234504400000.0,942.4486012041631
17,es,gb,8534,48347910.0,1381292200000.0,68350000.0,3234504400000.0,1509.2765304449847
18,at,de,8139,9131760.0,423156300000.0,83280000.0,3692367000000.0,478.2956358455796
19,de,gr,7961,83280000.0,3692367000000.0,10405590.0,219965720000.0,1655.182247503806
20,fr,gb,7908,68287490.0,2671234800000.0,68350000.0,3234504400000.0,1273.6202599845476
21,be,nl,7678,11787420.0,527263730000.0,17877120.0,917196700000.0,194.2491501478652
22,gb,it,7386,68350000.0,3234504400000.0,58993470.0,2010974800000.0,1659.5551553181333
23,es,pt,6897,48347910.0,1381292200000.0,10578170.0,235813110000.0,387.25834196977047
24,fr,gr,6562,68287490.0,2671234800000.0,10405590.0,219965720000.0,2185.219582997988
25,ch,de,6347,8888090.0,795978200000.0,83280000.0,3692367000000.0,508.2845729931309
26,de,se,6248,83280000.0,3692367000000.0,10536630.0,573717500000.0,1354.2464400363774
27,at,es,6166,9131760.0,423156300000.0,48347910.0,1381292200000.0,1627.5051615493064
