,source,target,weight,population_1,gdp_1,population_2,gdp_2,distance
94,es,ie,797,40741652.0,598363313494.903,3768954.0,100207610429.909,1464.7001895507544
95,dk,fi,774,5340662.0,164157842126.821,5176208.0,126019543413.334,1296.8086419683777
96,at,se,772,8010425.0,197289625479.906,8871042.0,262834187366.578,1699.1335691277736
97,fr,hu,772,58665456.0,1365639660792.16,10202054.0,47218411470.2538,1828.2566887188937
98,hu,it,741,10202054.0,47218411470.2538,56966400.0,1146676894209.73,753.4106851402055
99,at,be,740,8010425.0,197289625479.906,10264351.0,236792460312.471,770.1652991039201
100,dk,gr,740,5340662.0,164157842126.821,11038112.0,130457756628.436,2114.5938520145705
101,de,sk,724,81551680.0,1947981991011.77,5376700.0,29242558796.5507,713.399583580532
102,dk,no,723,5340662.0,164157842126.821,4491204.0,171456390281.958,1485.725835019941
103,at,gr,714,8010425.0,197289625479.906,11038112.0,130457756628.436,1178.6464858296238
104,be,fi,709,10264351.0,236792460312.471,5176208.0,126019543413.334,1992.834751443674
105,gb,sk,704,58850044.0,1666048767079.76,5376700.0,29242558796.5507,1653.7322431527775
106,ch,se,702,7182052.0,279209007352.669,8871042.0,262834187366.578,1860.987124765351
107,cz,es,689,10234712.0,61823494487.0363,40741652.0,598363313494.903,1815.2351246103747
108,be,ch,686,10264351.0,236792460312.471,7182052.0,279209007352.669,501.92555004904534
109,cz,nl,686,10234712.0,61823494487.0363,15899138.0,417479337444.707,743.195926803534
110,gr,no,668,11038112.0,130457756628.436,4491204.0,171456390281.958,3377.138089347943
111,gb,ro,666,58850044.0,1666048767079.76,21919882.0,37253738081.0669,2171.0087753494013
112,ie,nl,658,3768954.0,100207610429.909,15899138.0,417479337444.707,917.1765274618546
113,fi,no,654,5176208.0,126019543413.334,4491204.0,171456390281.958,699.4556011010353
114,be,pt,651,10264351.0,236792460312.471,10300632.0,118605192877.388,1572.5485048873797
115,de,si,627,81551680.0,1947981991011.77,1984339.0,20289627636.6767,653.6411891918916
116,gb,si,626,58850044.0,1666048767079.76,1984339.0,20289627636.6767,1534.7517265650026
117,ch,gr,593,7182052.0,279209007352.669,11038112.0,130457756628.436,1464.9158448394967
118,es,hu,567,40741652.0,598363313494.903,10202054.0,47218411470.2538,1990.8278060044763
119,pl,se,545,38504432.0,172220451786.957,8871042.0,262834187366.578,1198.3765227038828
120,pt,se,540,10300632.0,118605192877.388,8871042.0,262834187366.578,3058.789898593258
121,be,no,540,10264351.0,236792460312.471,4491204.0,171456390281.958,2141.92825863695
122,it,ro,540,56966400.0,1146676894209.73,21919882.0,37253738081.0669,1076.8568302019182
123,be,pl,540,10264351.0,236792460312.471,38504432.0,172220451786.957,1036.6512713434295
124,de,ro,539,81551680.0,1947981991011.77,21919882.0,37253738081.0669,1228.739634262319
125,at,ch,534,8010425.0,197289625479.906,7182052.0,279209007352.669,460.45059025016826
126,bg,de,531,8097694.0,13245990274.4581,81551680.0,1947981991011.77,1463.552186022501
127,at,fi,527,8010425.0,197289625479.906,5176208.0,126019543413.334,2018.6126135123654
128,at,dk,522,8010425.0,197289625479.906,5340662.0,164157842126.821,983.2647818217572
129,cz,se,518,10234712.0,61823494487.0363,8871042.0,262834187366.578,1453.5547132743764
130,hu,nl,516,10202054.0,47218411470.2538,15899138.0,417479337444.707,1144.9857997673141
131,fr,ro,515,58665456.0,1365639660792.16,21919882.0,37253738081.0669,2245.3331328714926
132,it,si,514,56966400.0,1146676894209.73,1984339.0,20289627636.6767,436.03233455749205
133,bg,gb,505,8097694.0,13245990274.4581,58850044.0,1666048767079.76,2398.1281301459626
134,dk,pl,481,5340662.0,164157842126.821,38504432.0,172220451786.957,754.4658712211889
135,dk,pt,459,5340662.0,164157842126.821,10300632.0,118605192877.388,2252.195071609549
136,gr,pl,454,11038112.0,130457756628.436,38504432.0,172220451786.957,1477.6123225213632
137,ch,dk,440,7182052.0,279209007352.669,5340662.0,164157842126.821,1038.717753881392
138,no,pt,434,4491204.0,171456390281.958,10300632.0,118605192877.388,3570.9162907956274
139,fi,pl,424,5176208.0,126019543413.334,38504432.0,172220451786.957,1432.360163745153
140,cz,fi,420,10234712.0,61823494487.0363,5176208.0,126019543413.334,1761.641060002383
141,it,sk,415,56966400.0,1146676894209.73,5376700.0,29242558796.5507,876.5551737606539
142,ch,fi,414,7182052.0,279209007352.669,5176208.0,126019543413.334,2258.717709107958
143,gr,ie,413,11038112.0,130457756628.436,3768954.0,100207610429.909,2812.5080905283576
144,at,hu,411,8010425.0,197289625479.906,10202054.0,47218411470.2538,401.1959070314668
145,be,ie,408,10264351.0,236792460312.471,3768954.0,100207610429.909,909.4383852617077
146,fr,si,407,58665456.0,1365639660792.16,1984339.0,20289627636.6767,1475.3768132631892
147,bg,it,404,8097694.0,13245990274.4581,56966400.0,1146676894209.73,1067.6626539855301
148,fi,pt,404,5176208.0,126019543413.334,10300632.0,118605192877.388,3543.738172908713
149,ie,se,394,3768954.0,100207610429.909,8871042.0,262834187366.578,1789.3266297829894
150,bg,es,385,8097694.0,13245990274.4581,40741652.0,598363313494.903,2406.7973150334005
151,cz,gr,381,10234712.0,61823494487.0363,11038112.0,130457756628.436,1325.783345939188
152,dk,ie,377,5340662.0,164157842126.821,3768954.0,100207610429.909,1195.2899968882984
153,at,pt,372,8010425.0,197289625479.906,10300632.0,118605192877.388,1984.6057029921328
154,be,cz,372,10264351.0,236792460312.471,10234712.0,61823494487.0363,773.0475704670232
155,at,pl,371,8010425.0,197289625479.906,38504432.0,172220451786.957,628.862947477918
156,fr,sk,362,58665456.0,1365639660792.16,5376700.0,29242558796.5507,1871.6852911254466
157,bg,fr,357,8097694.0,13245990274.4581,58665456.0,1365639660792.16,2293.0781496128006
158,be,hu,351,10264351.0,236792460312.471,10202054.0,47218411470.2538,1146.5174159396413
159,nl,sk,343,15899138.0,417479337444.707,5376700.0,29242558796.5507,1067.0928412536678
160,at,cz,340,8010425.0,197289625479.906,10234712.0,61823494487.0363,257.5705731582407
161,no,pl,332,4491204.0,171456390281.958,38504432.0,172220451786.957,1905.800711118256
162,ch,pt,330,7182052.0,279209007352.669,10300632.0,118605192877.388,1531.692264794122
163,cz,dk,329,10234712.0,61823494487.0363,5340662.0,164157842126.821,789.7067644903262
164,es,si,323,40741652.0,598363313494.903,1984339.0,20289627636.6767,1633.118940205925
165,es,ro,321,40741652.0,598363313494.903,21919882.0,37253738081.0669,2389.975901781604
166,fi,ie,313,5176208.0,126019543413.334,3768954.0,100207610429.909,2300.945655101341
167,at,no,312,8010425.0,197289625479.906,4491204.0,171456390281.958,2400.6528678040786
168,pl,pt,310,38504432.0,172220451786.957,10300632.0,118605192877.388,2515.2542679429575
169,hu,se,302,10202054.0,47218411470.2538,8871042.0,262834187366.578,1746.457308636757
170,nl,ro,295,15899138.0,417479337444.707,21919882.0,37253738081.0669,1583.2746226433953
171,hu,pl,295,10202054.0,47218411470.2538,38504432.0,172220451786.957,550.3743933950998
172,cz,pl,293,10234712.0,61823494487.0363,38504432.0,172220451786.957,384.26146250626795
173,gb,lt,293,58850044.0,1666048767079.76,3599639.0,11524776866.6379,1723.7991670497947
174,de,lt,288,81551680.0,1947981991011.77,3599639.0,11524776866.6379,1016.5063769685202
175,bg,gr,285,8097694.0,13245990274.4581,11038112.0,130457756628.436,459.3832777877987
176,gr,hu,284,11038112.0,130457756628.436,10202054.0,47218411470.2538,943.8215983008109
177,nl,si,281,15899138.0,417479337444.707,1984339.0,20289627636.6767,969.5935163505319
178,ch,no,276,7182052.0,279209007352.669,4491204.0,171456390281.958,2524.3063357267333
179,at,sk,263,8010425.0,197289625479.906,5376700.0,29242558796.5507,422.40557428558964
180,ch,pl,263,7182052.0,279209007352.669,38504432.0,172220451786.957,1004.6841497107471
181,es,sk,263,40741652.0,598363313494.903,5376700.0,29242558796.5507,2049.0084220799854
182,fi,hu,254,5176208.0,126019543413.334,10202054.0,47218411470.2538,1971.092508232354
183,ee,gb,251,1396881.0,5686579747.53524,58850044.0,1666048767079.76,1836.6599393771367
184,at,ie,250,8010425.0,197289625479.906,3768954.0,100207610429.909,1679.58532474459
185,gr,ro,247,11038112.0,130457756628.436,21919882.0,37253738081.0669,776.0543677959607
186,ie,pt,246,3768954.0,100207610429.909,10300632.0,118605192877.388,1505.8248248300097
187,ie,no,245,3768954.0,100207610429.909,4491204.0,171456390281.958,2153.141414353669
188,de,ee,243,81551680.0,1947981991011.77,1396881.0,5686579747.53524,1295.6649926716086
189,be,sk,240,10264351.0,236792460312.471,5376700.0,29242558796.5507,1096.1560907397152
190,at,si,239,8010425.0,197289625479.906,1984339.0,20289627636.6767,178.04634085007402
191,cy,gr,238,948238.0,9985844486.33365,11038112.0,130457756628.436,1027.2993945708693
192,cz,pt,235,10234712.0,61823494487.0363,10300632.0,118605192877.388,2155.705916065235
193,de,lv,234,81551680.0,1947981991011.77,2392536.0,7958852838.93395,1140.8744547320612
194,gb,is,234,58850044.0,1666048767079.76,281469.0,9025660361.75842,1526.097300117121
195,cz,hu,230,10234712.0,61823494487.0363,10202054.0,47218411470.2538,412.7387829508766
196,dk,hu,226,5340662.0,164157842126.821,10202054.0,47218411470.2538,1182.360167619676
197,cz,sk,222,10234712.0,61823494487.0363,5376700.0,29242558796.5507,325.370746396042
198,bg,nl,222,8097694.0,13245990274.4581,15899138.0,417479337444.707,1813.3626221490015
199,cy,de,213,948238.0,9985844486.33365,81551680.0,1947981991011.77,2565.9765995721086
200,be,ro,204,10264351.0,236792460312.471,21919882.0,37253738081.0669,1597.1325119068965
201,gr,si,203,11038112.0,130457756628.436,1984339.0,20289627636.6767,1010.2549189430244
202,ch,cz,200,7182052.0,279209007352.669,10234712.0,61823494487.0363,629.5731400152853
203,gb,lv,200,58850044.0,1666048767079.76,2392536.0,7958852838.93395,1772.3376519073804
204,de,is,199,81551680.0,1947981991011.77,281469.0,9025660361.75842,2274.44135787722
