,source,target,weight,population_1,gdp_1,population_2,gdp_2,distance
0,fr,gb,944,55108104.0,1018847043277.17,56643040.0,910171030657.68,1273.6202599845476
1,de,fr,806,77638808.0,1401233225303.49,55108104.0,1018847043277.17,1388.8423808022078
2,de,gb,727,77638808.0,1401233225303.49,56643040.0,910171030657.68,942.4486012041631
3,fr,it,692,55108104.0,1018847043277.17,56636468.0,891608957155.608,1231.1327126024544
4,de,it,443,77638808.0,1401233225303.49,56636468.0,891608957155.608,942.4105590819394
5,gb,it,416,56643040.0,910171030657.68,56636468.0,891608957155.608,1659.5551553181333
6,gb,nl,374,56643040.0,910171030657.68,14515705.0,261910508417.884,587.9855253968492
7,be,fr,374,9880540.0,162299103675.261,55108104.0,1018847043277.17,1074.0442574898536
8,fr,nl,289,55108104.0,1018847043277.17,14515705.0,261910508417.884,1262.0464963514944
9,de,nl,268,77638808.0,1401233225303.49,14515705.0,261910508417.884,354.5455728579468
10,be,de,259,9880540.0,162299103675.261,77638808.0,1401233225303.49,405.0317562925552
11,be,gb,230,9880540.0,162299103675.261,56643040.0,910171030657.68,623.29873994949
12,dk,gb,212,5119453.0,115552417468.553,56643040.0,910171030657.68,847.8216336734824
13,es,fr,195,38471924.0,376160409941.437,55108104.0,1018847043277.17,242.59590332635463
14,it,nl,176,56636468.0,891608957155.608,14515705.0,261910508417.884,1171.8227822573015
15,de,dk,165,77638808.0,1401233225303.49,5119453.0,115552417468.553,549.3944741316133
16,gb,ie,156,56643040.0,910171030657.68,3505781.0,37772896220.7559,351.37931512159327
17,be,it,138,9880540.0,162299103675.261,56636468.0,891608957155.608,1050.3259523417403
18,be,nl,133,9880540.0,162299103675.261,14515705.0,261910508417.884,194.2491501478652
19,es,gb,132,38471924.0,376160409941.437,56643040.0,910171030657.68,1509.2765304449847
20,de,es,125,77638808.0,1401233225303.49,38471924.0,376160409941.437,1609.5494803163838
21,fr,ie,121,55108104.0,1018847043277.17,3505781.0,37772896220.7559,1251.53956437681
22,fr,gr,121,55108104.0,1018847043277.17,9840144.0,76261277924.5736,2185.219582997988
23,dk,fr,120,5119453.0,115552417468.553,55108104.0,1018847043277.17,1768.5804081542167
24,gb,gr,110,56643040.0,910171030657.68,9840144.0,76261277924.5736,2539.9738030826825
25,de,gr,108,77638808.0,1401233225303.49,9840144.0,76261277924.5736,1655.182247503806
26,gb,pt,107,56643040.0,910171030657.68,9996891.0,56347250696.3788,1635.3833045770514
27,de,ie,103,77638808.0,1401233225303.49,3505781.0,37772896220.7559,1269.1892614643907
28,es,it,99,38471924.0,376160409941.437,56636468.0,891608957155.608,1339.4003074317754
29,dk,nl,97,5119453.0,115552417468.553,14515705.0,261910508417.884,506.5689307796173
30,fr,pt,90,55108104.0,1018847043277.17,9996891.0,56347250696.3788,536.6181849537082
31,dk,it,84,5119453.0,115552417468.553,56636468.0,891608957155.608,1489.4857087600647
32,de,pt,80,77638808.0,1401233225303.49,9996891.0,56347250696.3788,1913.165833841426
33,gr,it,74,9840144.0,76261277924.5736,56636468.0,891608957155.608,979.7748706125544
34,be,dk,73,9880540.0,162299103675.261,5119453.0,115552417468.553,697.4074089617403
35,es,pt,70,38471924.0,376160409941.437,9996891.0,56347250696.3788,387.25834196977047
36,ie,it,68,3505781.0,37772896220.7559,56636468.0,891608957155.608,1888.592138258894
37,ie,nl,63,3505781.0,37772896220.7559,14515705.0,261910508417.884,917.1765274618546
38,be,ie,60,9880540.0,162299103675.261,3505781.0,37772896220.7559,909.4383852617077
39,es,nl,60,38471924.0,376160409941.437,14515705.0,261910508417.884,1500.1613611392168
40,gr,nl,58,9840144.0,76261277924.5736,14515705.0,261910508417.884,1979.8389490502284
41,be,es,50,9880540.0,162299103675.261,38471924.0,376160409941.437,1310.3594821587585
42,it,pt,47,56636468.0,891608957155.608,9996891.0,56347250696.3788,1724.8599773534247
43,dk,es,45,5119453.0,115552417468.553,38471924.0,376160409941.437,2006.65322255761
44,dk,ie,44,5119453.0,115552417468.553,3505781.0,37772896220.7559,1195.2899968882984
45,nl,pt,40,14515705.0,261910508417.884,9996891.0,56347250696.3788,1750.9539813426293
46,dk,gr,39,5119453.0,115552417468.553,9840144.0,76261277924.5736,2114.5938520145705
47,be,pt,39,9880540.0,162299103675.261,9996891.0,56347250696.3788,1572.5485048873797
48,es,ie,39,38471924.0,376160409941.437,3505781.0,37772896220.7559,1464.7001895507544
49,be,gr,36,9880540.0,162299103675.261,9840144.0,76261277924.5736,1917.4654700249998
50,es,gr,35,38471924.0,376160409941.437,9840144.0,76261277924.5736,2254.706342610381
51,ie,pt,27,3505781.0,37772896220.7559,9996891.0,56347250696.3788,1505.8248248300097
52,dk,pt,26,5119453.0,115552417468.553,9996891.0,56347250696.3788,2252.195071609549
53,gr,pt,24,9840144.0,76261277924.5736,9996891.0,56347250696.3788,2640.4709204541164
54,gr,ie,22,9840144.0,76261277924.5736,3505781.0,37772896220.7559,2812.5080905283576
