,source,target,weight,population_1,gdp_1,population_2,gdp_2,distance
0,de,fr,40663,82624368.0,3690849152517.69,64144092.0,2595151045197.67,1388.8423808022078
1,de,es,37922,82624368.0,3690849152517.69,46584168.0,1313245330197.66,1609.5494803163838
2,es,it,37827,46584168.0,1313245330197.66,60004024.0,1961796197354.37,1339.4003074317754
3,de,it,37334,82624368.0,3690849152517.69,60004024.0,1961796197354.37,942.4105590819394
4,es,fr,32816,46584168.0,1313245330197.66,64144092.0,2595151045197.67,242.59590332635463
5,de,gb,32192,82624368.0,3690849152517.69,66064808.0,2683488510504.04,942.4486012041631
6,fr,it,31524,64144092.0,2595151045197.67,60004024.0,1961796197354.37,1231.1327126024544
7,fr,gb,25419,64144092.0,2595151045197.67,66064808.0,2683488510504.04,1273.6202599845476
8,de,nl,25291,82624368.0,3690849152517.69,17207204.0,833869641687.068,354.5455728579468
9,es,gb,24622,46584168.0,1313245330197.66,66064808.0,2683488510504.04,1509.2765304449847
10,gb,it,24204,66064808.0,2683488510504.04,60004024.0,1961796197354.37,1659.5551553181333
11,fr,nl,18471,64144092.0,2595151045197.67,17207204.0,833869641687.068,1262.0464963514944
12,be,de,18249,11384491.0,502764720556.358,82624368.0,3690849152517.69,405.0317562925552
13,es,nl,17748,46584168.0,1313245330197.66,17207204.0,833869641687.068,1500.1613611392168
14,it,nl,17030,60004024.0,1961796197354.37,17207204.0,833869641687.068,1171.8227822573015
15,be,es,16189,11384491.0,502764720556.358,46584168.0,1313245330197.66,1310.3594821587585
16,gb,nl,15983,66064808.0,2683488510504.04,17207204.0,833869641687.068,587.9855253968492
17,be,fr,15683,11384491.0,502764720556.358,64144092.0,2595151045197.67,1074.0442574898536
18,be,it,14799,11384491.0,502764720556.358,60004024.0,1961796197354.37,1050.3259523417403
19,at,de,14627,8797497.0,417261151844.981,82624368.0,3690849152517.69,478.2956358455796
20,de,se,13080,82624368.0,3690849152517.69,10058191.0,541018749769.097,1354.2464400363774
21,es,gr,12657,46584168.0,1313245330197.66,10692230.0,199844406013.533,2254.706342610381
22,ch,de,12101,8451688.0,695200833086.499,82624368.0,3690849152517.69,508.2845729931309
23,be,nl,12017,11384491.0,502764720556.358,17207204.0,833869641687.068,194.2491501478652
24,gr,it,11913,10692230.0,199844406013.533,60004024.0,1961796197354.37,979.7748706125544
25,be,gb,11428,11384491.0,502764720556.358,66064808.0,2683488510504.04,623.29873994949
26,de,gr,10407,82624368.0,3690849152517.69,10692230.0,199844406013.533,1655.182247503806
27,es,se,9964,46584168.0,1313245330197.66,10058191.0,541018749769.097,2837.238370246114
28,fr,se,9489,64144092.0,2595151045197.67,10058191.0,541018749769.097,2596.6314187525427
29,at,es,9393,8797497.0,417261151844.981,46584168.0,1313245330197.66,1627.5051615493064
30,ch,fr,9333,8451688.0,695200833086.499,64144092.0,2595151045197.67,995.1778337097365
31,it,se,9171,60004024.0,1961796197354.37,10058191.0,541018749769.097,2251.156661879422
32,es,pt,9103,46584168.0,1313245330197.66,10307528.0,221357874718.932,387.25834196977047
33,at,it,9027,8797497.0,417261151844.981,60004024.0,1961796197354.37,561.373522834273
34,fr,gr,8768,64144092.0,2595151045197.67,10692230.0,199844406013.533,2185.219582997988
35,de,fi,8618,82624368.0,3690849152517.69,5508146.0,255647979916.473,1753.2457080800953
36,ch,it,8600,8451688.0,695200833086.499,60004024.0,1961796197354.37,550.2897278210395
37,at,fr,8479,8797497.0,417261151844.981,64144092.0,2595151045197.67,1449.4838192116947
38,ch,gb,7971,8451688.0,695200833086.499,66064808.0,2683488510504.04,1110.0249104069546
39,gb,se,7946,66064808.0,2683488510504.04,10058191.0,541018749769.097,1498.605473867267
40,ch,es,7599,8451688.0,695200833086.499,46584168.0,1313245330197.66,1185.8128841009989
41,it,pt,7383,60004024.0,1961796197354.37,10307528.0,221357874718.932,1724.8599773534247
42,es,fi,7376,46584168.0,1313245330197.66,5508146.0,255647979916.473,3303.053846396287
43,gb,gr,7311,66064808.0,2683488510504.04,10692230.0,199844406013.533,2539.9738030826825
44,de,pt,7067,82624368.0,3690849152517.69,10307528.0,221357874718.932,1913.165833841426
45,de,dk,6819,82624368.0,3690849152517.69,5737286.0,332121063806.391,549.3944741316133
46,fi,fr,6755,5508146.0,255647979916.473,64144092.0,2595151045197.67,3065.3718042421074
